Pod Alžbìtinkami 196, Jablunkov;18.767148;49.579353;Tesco Stores ÈR, a.s.;Expres Jablunkov;;
Místecká 1124, Pøíbor;18.1558949;49.642164;Tesco Stores ÈR, a.s.;Expres Pøíbor;;
Koperníkova 1077, Dolní Lutynì;18.4284097;49.8986003;Tesco Stores ÈR, a.s.;Expres Dolní Lutynì;;
nám. Svobody 528, Tøinec;18.6755648;49.6675981;Tesco Stores ÈR, a.s.;Expres Tøinec;;
Sportovní 1398/8, Nový Jièín;17.997716;49.592771;Tesco Stores ÈR, a.s.;Expres Nový Jièín;;
Kosmonautù 638/23a, Karviná;18.5567868;49.8506369;Tesco Stores ÈR, a.s.;Expres Karviná;;
Horní 26, Frenštát pod Radhoštìm;18.2136149;49.54641179999999;Tesco Stores ÈR, a.s.;Expres Frenštát;;
Bystøice 1181, Bystøice;18.7198011;49.6368818;Tesco Stores ÈR, a.s.;Expres Bystøice;;
Milady Horákové 116, Praha;14.4075405;50.097829;Tesco Stores ÈR, a.s.;Expres Tesco Hradèanská;;
Meèová 695/2, Brno;16.6069791;49.1932762;Tesco Stores ÈR, a.s.;Expres Brno Špalíèek;;
Mendelova 665/13, Praha;14.5324302;50.0333278;Tesco Stores ÈR, a.s.;Tesco Expres Mendelova;;
Palackého nám. 30, Rosice;16.3900514;49.1817864;Tesco Stores ÈR, a.s.;Tesco Expres Brno - Rosice;;
Moskevská 466/82, Praha;14.4602387;50.0670095;Tesco Stores ÈR, a.s.;Expres Tesco Moskevská;;
Bìlocerkevská 1305/34, Praha;14.4709584;50.0726237;Tesco Stores ÈR, a.s.;Tesco Expres Bìlocerkevská;;
Petržílkova 2706/30, Praha;14.3443654;50.05122009999999;Tesco Stores ÈR, a.s.;Tesco Expres Praha;;
Roztylské námìstí 2772/44, Praha;14.4753604;50.0469354;Tesco Stores ÈR, a.s.;Tesco Expres Praha;;
Dobrovodská 2009/50a, Èeské Budìjovice;14.497051;48.9714038;Tesco Stores ÈR, a.s.;Expres Tesco Èeské Budìjovice;;
Krajinská 251/16, Èeské Budìjovice;14.4737655;48.9762164;Tesco Stores ÈR, a.s.;Expres Tesco Èeské Budìjovice;;
Na Raèanech 28, Dolní Bøežany;14.4574539;49.966128;Tesco Stores ÈR, a.s.;Tesco Expres Dolní Bøežany;;
Makovského 1330/34, Praha;14.3009225;50.06605709999999;Tesco Stores ÈR, a.s.;Expres Tesco Makovského;;
Arbesovo nám. 275/8, Praha;14.4045114;50.0768071;Tesco Stores ÈR, a.s.;Expres Arbesovo námìstí;;
Mìlnická 395, Líbeznice;14.4936656;50.1932944;Tesco Stores ÈR, a.s.;Tesco Expres Líbeznice;;
Havlíèkova, Kosmonosy;14.9395521;50.4804661;Tesco Stores ÈR, a.s.;Tesco Extra Mladá Boleslav;;
Sokolovská 968/189, Praha;14.4881741;50.10691079999999;Tesco Stores ÈR, a.s.;Tesco Expres Praha;;
Kysucká 1829/14, Èeský Tìšín;18.6148847;49.73242339999999;Tesco Stores ÈR, a.s.;Tesco Expres Èeský Tìšín;;
tøída Svobody 836, Zlín;17.5833402;49.20528220000001;Tesco Stores ÈR, a.s.;Expres Zlín;;
