Svobodova 1961/1, Praha;14.4179406;50.0679623;Tesco Stores ÈR, a.s.;Expres Praha Svobodova;;
Cukrovarská 786/69, Praha;14.5303129;50.1513611;Tesco Stores ÈR, a.s.;Expres Praha Èakovice;;
Nuselská 1418/51, Praha;14.4474345;50.06131629999999;Tesco Stores ÈR, a.s.;Tesco Expres Nuselská;;
nám. Jana Masaryka 2735, Kladno;14.0726519;50.1396407;Tesco Stores ÈR, a.s.;Tesco Expres Kladno Rozdìlov;;
Bìlehradská 474/89, Praha;14.4317759;50.0762635;Tesco Stores ÈR, a.s.;Tesco Express Praha Bìlehradská;;
Táborská 2024, Èernošice;14.3156045;49.9499254;Tesco Stores ÈR, a.s.;Expres Tesco Èernošice;;
Konìvova 1685/110, Praha;14.4672612;50.0899787;Tesco Stores ÈR, a.s.;Tesco Expres Praha Konìvova;;
námìstí Hrdinù 1634/3, Praha;14.4338292;50.0562154;Tesco Stores ÈR, a.s.;Tesco Expres Praha Pražského povstání;;
Finská 600/2, Praha;14.4566847;50.0714127;Tesco Stores ÈR, a.s.;Tesco Expres Praha;;
Starodubeèská 400/16, Praha;14.5889313;50.0617827;Tesco Stores ÈR, a.s.;Tesco Expres Praha;;
Zámecká 1936/18, Ostrava;18.2900191;49.8351244;Tesco Stores ÈR, a.s.;Tesco Expres Ostrava;;
Divadelní 603/1, Brno;16.614134;49.1946705;Tesco Stores ÈR, a.s.;Tesco Expres Brno Malinovského námìstí;;
Hlavní tøída 1196/27a, Ostrava;18.1796945;49.826462;Tesco Stores ÈR, a.s.;Tesco Expres Ostrava;;
Špitálské námìstí 3517/1a, Ústí nad Labem;14.0331933;50.6618643;Tesco Stores ÈR, a.s.;Tesco Expres Ústí nad Labem;;
Táborská 619/46, Praha;14.4420547;50.0627354;Tesco Stores ÈR, a.s.;Tesco Expres Táborská;;
nám. T. G. Masaryka 401, Tøinec;18.6785434;49.6695718;Tesco Stores ÈR, a.s.;Expres Tesco Tøinec;;
Sosnová 409, Tøinec;18.6858932;49.6784707;Tesco Stores ÈR, a.s.;Expres Tesco Tøinec;;
Dr. Martínka 1170/49, Ostrava;18.2650798;49.7877145;Tesco Stores ÈR, a.s.;Expres Tesco Ostrava;;
Na pískách 1815/29a, Praha;14.3727075;50.1041797;Tesco Stores ÈR, a.s.;Tesco Expres Praha Na Pískách;;
17. listopadu 1001/25, Havíøov;18.4474403;49.77888;Tesco Stores ÈR, a.s.;Expres Tesco Havíøov;;
Jiøího Trnky 73, Frýdek-Místek;18.3335606;49.67688039999999;Tesco Stores ÈR, a.s.;Expres Tesco Frýdek - Místek;;
Prokopova 2859/7, Praha;14.4527151;50.0862;Tesco Stores ÈR, a.s.;Tesco Expres Praha Prokopova;;
Tyršova 684, Osek;13.6914194;50.6266798;Tesco Stores ÈR, a.s.;Tesco Expres Osek;;
tø. Tìreškovové 2232/26, Karviná;18.5567246;49.857364;Tesco Stores ÈR, a.s.;Expres Karviná;;
Dukelská 1017, Tøinec;18.6804862;49.6637903;Tesco Stores ÈR, a.s.;Expres Tøinec;;
