ADRESA;MESTO;x;y;FIRMA;NAZEV;SUMVYMERU;SUMOBZSJ01;COUNT
Švermova 1547, Beroun;Beroun;14.050132400000001;49.956957899999999;Penny Market, s.r.o.;Penny Market;1850.4808000000000000;6731;6
Dukel. hrdinù 2546, Rakovník;Rakovník;13.710990700000000;50.108589100000003;Penny Market, s.r.o.;;18252.8957999999980000;9897;35
Èeskomoravská 2420/15a, Praha 9;Praha;14.490698699999999;50.104234099999999;AHOLD Czech Republic, a. s.;;75.9587999999999970;3380;2
V olšinách 3140/108, Praha;Praha;14.497048400000001;50.072449599999999;Billa, s.r.o.;;100.0110000000000000;11650;3
Dobiášova 1008, Liberec;Liberec;15.070792500000000;50.752448399999999;AHOLD Czech Republic, a. s.;;147.3258000000000200;11349;4
Podìbradská 297, Pardubice;Pardubice;15.763069300000000;50.056359000000000;AHOLD Czech Republic, a. s.;;5981.2174000000023000;9325;24
Milady Horákové 327/51, Hradec Králové;Hradec Králové;15.846873300000000;50.185419899999999;AHOLD Czech Republic, a. s.;;4765.4226999999992000;15026;14
tøída 3. kvìtna 1170, Zlín;Zlín;17.572471900000000;49.203724600000001;Tesco Stores ÈR, a.s.;Hypermarket Tesco Centro Zlín;5811.2621999999992000;13772;18
K Ládví 344/4, Praha 8;Praha;14.431554300000000;50.135861800000001;AHOLD Czech Republic, a. s.;;708.5218999999999600;10784;10
Brodská 495, Pøíbram;Pøíbram;13.992690400000001;49.669052800000003;Penny Market, s.r.o.;Penny Market;81.6504000000000050;12;1
Chomutovská 1316, Most;Most;13.632912200000000;50.501554900000002;Billa, s.r.o.;;3696.4152000000004000;6650;15
Dobnerova 1195/27, Olomouc;Olomouc;17.233548599999999;49.590907500000000;Billa, s.r.o.;;1468.8294000000001000;14771;11
Revoluèní 2732/9, Ústí nad Labem;Ústí nad Labem;14.038010999999999;50.659376500000000;Penny Market, s.r.o.;Penny Market;165.0581000000000000;1313;3
Rilská 3174/6, Praha 12;Praha;14.428096399999999;50.008616699999997;AHOLD Czech Republic, a. s.;;517.7278999999999800;11203;8
tø. 17. listopadu 23/2, Karviná;Karviná;18.541280300000000;49.856249899999987;Billa, s.r.o.;;286.4010000000000100;13834;7
Dr.Milady Horákové 10, Chrudim;Chrudim;15.802260900000000;49.936911100000003;Tesco Stores ÈR, a.s.;Hypermarket Tesco Chrudim;9928.5382000000009000;7970;42
Vinohradská 89/90, Praha 3;Praha;14.453926800000000;50.077300999999999;AHOLD Czech Republic, a. s.;;39.4617000000000000;11631;3
Rudná 114/3114, Ostrava;Ostrava;18.227972800000000;49.802018199999999;AHOLD Czech Republic, a. s.;;657.1560999999999200;223;4
Radèická 2861/2, Plzeò;Plzeò;13.369561200000000;49.749638099999999;AHOLD Czech Republic, a. s.;;351.9987999999999600;5729;4
Praská 373, Náchod;Náchod;16.157760700000001;50.408721900000003;Penny Market, s.r.o.;;1456.1676000000000000;3531;10
U Stadiónu 3255/1, Ostrava;Ostrava;18.316411700000000;49.769656699999999;Lidl Èeská republika, v.o.s.;;2574.1922000000000000;8266;7
Køídlovická 911/34, Brno;Brno;16.602053000000002;49.185448899999997;Billa, s.r.o.;;134.6216000000000000;6022;4
8. kvìtna 465/24, Olomouc;Olomouc;17.250150699999999;49.595285999999987;Billa, s.r.o.;;83.9565000000000050;4495;1
Karlovo námìstí 2097/10, Praha;Praha;14.418785800000000;50.075407200000001;Billa, s.r.o.;;30.0145000000000020;3075;1
Obce Leákù 69, Chrudim;Chrudim;15.795933099999999;49.943951499999997;Penny Market, s.r.o.;;446.6626999999999700;6281;4
Vysoèanská 382/20, Praha;Praha;14.499153200000000;50.119463699999997;Billa, s.r.o.;;53.4149000000000030;1779;2
Edvarda Beneše 581/21a, Plzeò;Plzeò;13.378485299999999;49.726262699999999;Penny Market, s.r.o.;Penny Market;208.8510000000000000;855;3
Milady Horákové 2751, Kladno;Kladno;14.111523099999999;50.133197000000003;Penny Market, s.r.o.;Penny Market;106.7651000000000000;4435;2
Bezruèova 651/6a, Jeseník;Jeseník;17.206161099999999;50.237167399999997;Billa, s.r.o.;;31670.9408999999980000;20887;59
Moravská 2114, Tachov;Tachov;12.635754700000000;49.802460099999998;Lidl Èeská republika, v.o.s.;;3964.8350999999998000;1127;6
Prùbìná 2271, Pelhøimov;Pelhøimov;15.226674500000000;49.429488800000001;Billa, s.r.o.;;9845.8039000000008000;6158;32
Letná 605/44, Liberec;Liberec;15.039123999999999;50.782279000000003;Penny Market, s.r.o.;;;;
U Èerveného kostela 1863, Teplice;Teplice;13.839080299999999;50.653110200000000;Penny Market, s.r.o.;Penny Market;1017.7416000000001000;12922;8
Krkonošská, Trutnov;Trutnov;15.883503200000000;50.582220300000003;Tesco Stores ÈR, a.s.;Hypermarket Tesco 5K Extra Trutnov;14467.4536000000030000;10436;29
V celnici 1031/4, Praha;Praha;14.430073600000000;50.087885600000000;Billa, s.r.o.;;50.3145000000000020;2563;1
Konìvova 188/30, Praha;Praha;14.456982099999999;50.087777500000001;Billa, s.r.o.;;33.3183999999999970;6392;2
Jiráskova 67, Rokycany;Rokycany;13.595078100000000;49.740608500000000;Billa, s.r.o.;;11297.9926999999990000;8927;32
Plzeòská 916, Planá;Planá;12.735811300000000;49.863317100000003;Tesco Stores ÈR, a.s.;Supermarket Tesco Planá u Mariánskıch Lá;14050.5218999999980000;4088;31
Letohradská 1485, Ústí nad Orlicí;Ústí nad Orlicí;16.405058100000002;49.978988600000001;Penny Market, s.r.o.;;2179.5116000000003000;1675;9
Skupova 490/24, Plzeò;Plzeò;13.373002100000001;49.723211300000003;Billa, s.r.o.;;1766.9920000000000000;6196;4
námìstí Generála Píky 2703/27, Plzeò;Plzeò;13.401184799999999;49.732259599999999;Billa, s.r.o.;;321.8777000000000000;16224;10
Všeboøická 359/51, Ústí nad Labem;Ústí nad Labem;13.996007600000000;50.683451699999999;Lidl Èeská republika, v.o.s.;;611.7690000000000100;6331;7
U Prazdroje 2746/20, Plzeò;Plzeò;13.394089400000000;49.747670100000001;Penny Market, s.r.o.;Penny Market;98.9447000000000120;323;3
eletická 2210/19, Litomìøice;Litomìøice;14.139058800000001;50.526497399999997;AHOLD Czech Republic, a. s.;;1914.6757999999998000;5053;10
1. máje 155, Frıdek-Místek;Frıdek-Místek;18.351449599999999;49.669248699999997;AHOLD Czech Republic, a. s.;;194.8804999999999800;6378;2
Olbrachtova 808/2, Liberec;Liberec;15.090521799999999;50.760925200000003;Tesco Stores ÈR, a.s.;Supermarket Tesco Liberec;2771.4200000000001000;15959;20
Teplická, Dìèín;Dìèín;14.170882900000001;50.781767199999997;Penny Market, s.r.o.;Penny Market;2560.7345999999998000;2412;7
Vıškovická 3086/44, Ostrava;Ostrava;18.230623399999999;49.800272199999988;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava-Zábøeh;109.4593999999999900;5203;2
Mimoòská 3090, Èeská Lípa;Èeská Lípa;14.540966500000000;50.680745999999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Èeská Lípa;5852.7792999999992000;6456;21
nám. 1. kvìtna, Kuøim;Kuøim;16.530966700000000;49.298720799999998;AHOLD Czech Republic, a. s.;;7364.7960000000003000;10682;16
Švabinského 618, Domalice;Domalice;12.930413900000000;49.446870799999999;Penny Market, s.r.o.;;754.2060000000000200;3695;4
arošická 4292/30, Brno;Brno;16.664391800000001;49.206083799999988;Billa, s.r.o.;;;;
Olomoucká 90, Olomouc - Velkı Tınec;Olomouc;17.306861200000000;49.559281200000008;AHOLD Czech Republic, a. s.;;10013.0161000000010000;12846;15
Jáchymova 838, Jindøichùv Hradec;Jindøichùv Hradec;15.015570000000000;49.140730800000000;AHOLD Czech Republic, a. s.;;107.7711999999999900;2667;3
eická 598, Pøíbram;Pøíbram;13.988364700000000;49.670921600000000;Tesco Stores ÈR, a.s.;Hypermarket Tesco Pøíbram;3460.7344000000003000;9682;24
Pøedškolní 680/4, Ostrava;Ostrava;18.222086500000000;49.781445800000000;AHOLD Czech Republic, a. s.;;4327.5572000000002000;23235;12
Budìjovická 1125/11, Praha 4;Praha;14.446993600000001;50.046635700000003;AHOLD Czech Republic, a. s.;;30.4163000000000000;3980;1
Bunièitá 1239, Vratimov;Vratimov;18.303033100000000;49.771918399999997;Penny Market, s.r.o.;Penny Market;1640.9902999999999000;5130;6
Hlavní tøída 3274, Frıdek-Místek;Frıdek-Místek;18.369396500000001;49.677541800000000;AHOLD Czech Republic, a. s.;;7445.7581999999993000;11061;28
Oskol 3711/26, Kromìøí;Kromìøí;17.402887100000001;49.297188499999997;AHOLD Czech Republic, a. s.;;44.3825999999999960;4344;1
Husova 1112, Jièín;Jièín;15.364681200000000;50.433327400000003;Penny Market, s.r.o.;Penny Market;2790.9803000000002000;1516;8
Hynaisova 554/11, Olomouc;Olomouc;17.245670199999999;49.597324999999998;Billa, s.r.o.;;22.2390000000000010;816;1
U Libeòského pivovaru 63/2, Praha 8;Praha;14.475369799999999;50.107073100000001;AHOLD Czech Republic, a. s.;;171.0688000000000100;9751;4
Suchovrbenské nám. 708/2, Èeské Budìjovice;Èeské Budìjovice;14.504148199999999;48.970954300000002;AHOLD Czech Republic, a. s.;;11887.8245999999960000;19906;40
Cihláøská 1516, Ústí nad Orlicí;Ústí nad Orlicí;16.400433199999998;49.978605199999997;Tesco Stores ÈR, a.s.;Hypermarket Tesco Ústí nad Orlicí;1679.1177000000000000;1322;4
námìstí Svobody 702/9, Brno;Brno;16.609216100000001;49.194836299999999;Billa, s.r.o.;;69.0836999999999930;5975;3
17. listopadu 1431, Orlová;Orlová;18.444300100000000;49.863123199999997;Lidl Èeská republika, v.o.s.;;2414.1924999999997000;4837;20
Praská 2276, Pelhøimov;Pelhøimov;15.211483100000001;49.439291099999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Pelhøimov;16247.8632999999970000;5430;39
U Slavie 1527/3, Praha;Praha;14.469399400000000;50.068164099999997;Tesco Stores ÈR, a.s.;Hypermarket Tesco Praha Eden;186.7012000000000000;13868;8
Brnìnská 1870/33a, Hradec Králové;Hradec Králové;15.850902800000000;50.189825199999987;Lidl Èeská republika, v.o.s.;;3826.9649000000009000;3410;8
Velehradská tøída, Uherské Hradištì;Uherské Hradištì;17.462897999999999;49.070541700000000;Billa, s.r.o.;;14.7933000000000000;277;1
Wilsonova 300/8, Praha;Praha;14.435021400000000;50.083238700000003;Billa, s.r.o.;;21.5913000000000000;5;3
Kamenická 232, Dìèín;Dìèín;14.240208900000001;50.784711899999998;AHOLD Czech Republic, a. s.;;7743.5427000000000000;9979;22
Køenová 273/73, Brno;Brno;16.625622400000001;49.191360099999997;Billa, s.r.o.;;159.9873999999999800;4799;6
Tilleho nám. 793/1, Praha;Praha;14.377723100000001;50.034504499999997;Billa, s.r.o.;Barrandov;309.3539999999999800;7673;4
ul. U Divadla, Teplice;Teplice;13.826006500000000;50.640136800000008;AHOLD Czech Republic, a. s.;;147.8693000000000100;3799;3
J. Opletala 926/20, Èeské Budìjovice;Èeské Budìjovice;14.446457600000000;48.982013599999988;Billa, s.r.o.;;142.7486000000000100;8328;3
Bìlohorská 2428/203, Praha;Praha;14.341148900000000;50.077839800000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha-Vypich;434.2603999999999500;6863;8
Na Pankráci 86, Praha;Praha;14.439103100000001;50.051158600000001;AHOLD Czech Republic, a. s.;;207.5204000000000200;16765;9
Na Pøíkopì 3162, Frıdek-Místek;Frıdek-Místek;18.349677799999998;49.681516999999999;Billa, s.r.o.;;46.4005000000000010;106;1
9. kvìtna 2886, Tábor;Tábor;14.671693599999999;49.412921699999998;AHOLD Czech Republic, a. s.;;417.0911999999999600;4050;2
Jankovcova 1603/47a, Praha;Praha;14.455057000000000;50.106697300000000;Billa, s.r.o.;;85.3871999999999930;5231;2
Opavská 774/91, Ostrava;Ostrava;18.168489500000000;49.834151200000001;Tesco Stores ÈR, a.s.;Supermarket Tesco Expres Ostrava;75.0906000000000090;12408;6
Pøemyslovcù 2252/1, Novı Jièín;Novı Jièín;18.010540400000000;49.598797900000001;AHOLD Czech Republic, a. s.;INTERSPAR Novı Jièín;39.8363999999999980;1762;2
Èástkova 1185/80, Plzeò;Plzeò;13.405360399999999;49.734694200000000;Penny Market, s.r.o.;;265.8709000000000100;4193;7
Šumavská 782, Klatovy;Klatovy;13.294759300000001;49.388081999999997;Kaufland Èeská republika, v.o.s.;OD Kaufland Klatovy;5260.8504999999986000;8528;27
Novosibøinská 2227, Praha;Praha;14.671298000000000;50.074206399999987;Lidl Èeská republika, v.o.s.;;1562.3540000000000000;8717;6
Karlovo nám. 15, Praha 2;Praha;14.419122900000000;50.076804400000000;AHOLD Czech Republic, a. s.;;21.4090999999999990;3753;1
Kutnohorská 226, Hradec Králové;Hradec Králové;15.780660599999999;50.199056800000001;AHOLD Czech Republic, a. s.;;15025.6334000000010000;13051;52
Jana Zajíce 717, Pardubice;Pardubice;15.805086899999999;50.043918400000003;AHOLD Czech Republic, a. s.;;634.6377000000000000;11438;14
Vodní 2453/1, Cheb;Cheb;12.369700200000000;50.083841999999997;Lidl Èeská republika, v.o.s.;;391.1087999999999700;1455;3
Tyršova 884, Trmice;Trmice;14.005493899999999;50.650425700000007;Penny Market, s.r.o.;Penny Market;6903.3967999999995000;6519;32
Hostovského 967, Hronov;Hronov;16.181302599999999;50.471839400000000;Penny Market, s.r.o.;Penny Market;6065.2430000000004000;10823;23
Bayerova 646/3, Pøerov;Pøerov;17.455372700000002;49.453818099999999;AHOLD Czech Republic, a. s.;;23.4479000000000010;1492;1
V pøedpolí 21, Praha;Praha;14.482263800000000;50.071636499999997;AHOLD Czech Republic, a. s.;;121.6544999999999800;8122;6
ul.Èsl. Armády 826, Praha 6;Praha;14.403754299999999;50.100343799999997;AHOLD Czech Republic, a. s.;;307.7322000000000300;18126;10
Breitcetlova 771/6, Praha 9;Praha;14.574513800000000;50.105556300000003;AHOLD Czech Republic, a. s.;;387.6433999999999900;19875;7
Libušina tøída 5, Brno;Brno;16.533985200000000;49.187860899999997;AHOLD Czech Republic, a. s.;;4781.6190999999999000;15093;11
Masarykova 187, Kutná Hora;Kutná Hora;15.283876599999999;49.960077699999999;AHOLD Czech Republic, a. s.;;2954.7349000000004000;2570;15
tø. Svobody 956/31, Olomouc;Olomouc;17.249212700000001;49.593148799999987;AHOLD Czech Republic, a. s.;;88.5619999999999980;5336;2
tøída Edvarda Beneše 1797/1d, Hradec Králové;Hradec Králové;15.839728800000000;50.196398700000003;AHOLD Czech Republic, a. s.;;223.8370999999999900;9628;6
Evropská 695/73, Praha;Praha;14.359396500000001;50.097379599999996;Billa, s.r.o.;;154.8282000000000100;9926;4
Tovární 1395, Chrudim;Chrudim;15.796902700000000;49.955104300000002;Lidl Èeská republika, v.o.s.;;1644.3690000000001000;4438;8
Rooseveltova 46, Chrudim;Chrudim;15.789769900000000;49.948847899999997;Billa, s.r.o.;;6012.7212999999992000;9351;32
Na Pastvisku 1571/5, Opava;Opava;17.908026499999998;49.948284600000001;Billa, s.r.o.;;1255.2286000000001000;3678;4
Karla Havlíèka Borovského 2145, Sokolov;Sokolov;12.675369600000000;50.175150400000000;Lidl Èeská republika, v.o.s.;;6121.9101999999993000;8001;10
Na Radouèi 1236, Mladá Boleslav;Mladá Boleslav;14.909793700000000;50.436184599999997;AHOLD Czech Republic, a. s.;;1684.1923000000002000;2032;13
Èechova 2126, Benešov;Benešov;14.695186700000001;49.786918800000002;Penny Market, s.r.o.;;9514.2729999999992000;9650;38
Jabloòová 3000/15, Praha;Praha;14.497614499999999;50.056862099999996;Tesco Stores ÈR, a.s.;Supermarket Tesco Jabloòová;49.9586000000000040;5899;2
Na Baních 1475, Praha;Praha;14.381000300000000;49.963412099999999;Lidl Èeská republika, v.o.s.;;7398.7797999999993000;9063;35
Èerveòanského 2723/29, Praha;Praha;14.333980800000001;50.040419100000008;Lidl Èeská republika, v.o.s.;;289.3129999999999900;17261;4
Sjízdná 1157/1, Ostrava;Ostrava;18.198688099999998;49.825944000000007;Lidl Èeská republika, v.o.s.;;40.5835999999999970;566;1
nám. Soukenné 669/2a, Liberec;Liberec;15.056273700000000;50.765611999999997;Tesco Stores ÈR, a.s.;obchodní dùm MY Liberec;;;
Freyova 945/33, Praha;Praha;14.501553700000001;50.109728099999998;Billa, s.r.o.;;89.8592999999999900;4606;3
V korytech 1535/65, Praha;Praha;14.493269099999999;50.063977299999998;Lidl Èeská republika, v.o.s.;;82.2137000000000030;46;2
Pøemyslovcù 2654, Louny;Louny;13.782843300000000;50.356416799999998;Penny Market, s.r.o.;;1700.2475999999997000;7792;6
Chınovská 3049, Tábor;Tábor;14.686798000000000;49.408446800000000;AHOLD Czech Republic, a. s.;;12097.5697999999990000;9491;42
Nádraní 2376, ïár nad Sázavou;ïár nad Sázavou;15.938887400000000;49.558485900000001;Kaufland Èeská republika, v.o.s.;OD Kaufland ïár nad Sázavou;16.8523000000000000;628;1
Svobody 2094/6, Cheb;Cheb;12.371456300000000;50.077243000000003;Billa, s.r.o.;;32.4750000000000010;2116;1
Nábøeí 5428, Zlín;Zlín;17.654324100000000;49.227906999999988;Lidl Èeská republika, v.o.s.;;527.3670999999999400;6062;6
Trnkova 2772/121, Brno;Brno;16.667955500000001;49.200483299999988;Lidl Èeská republika, v.o.s.;;;;
Øevnická 121/1, Praha;Praha;14.287548100000000;50.053294999999999;AHOLD Czech Republic, a. s.;;1178.6526000000001000;1705;9
Lhotecká 444/3a, Praha;Praha;14.424623700000000;50.015387799999999;Lidl Èeská republika, v.o.s.;;47.2520999999999990;1249;2
Josefa Rùièky 1226, Rokycany;Rokycany;13.600263900000000;49.738947099999997;Kaufland Èeská republika, v.o.s.;OD Kaufland Rokycany;29237.7272000000010000;22284;55
Brnìnská 4971/74, Jihlava;Jihlava;15.609606500000000;49.396315199999997;Tesco Stores ÈR, a.s.;Hypermarket Jihlava;14234.0183000000020000;9408;37
Pøístavní 1321/55a, Brno;Brno;16.523653100000001;49.227545799999987;Penny Market, s.r.o.;Penny Market;902.2146000000000200;2861;7
17. listopadu 2262, Frıdek-Místek;Frıdek-Místek;18.324557700000000;49.674167799999999;AHOLD Czech Republic, a. s.;;3289.8262000000000000;4020;8
Cihelní 1872, Hluèín;Hluèín;18.195434100000000;49.895673199999997;Penny Market, s.r.o.;;5350.4294000000009000;22166;22
Marie Majerové 2162/20, Litomìøice;Litomìøice;14.129181400000000;50.545107799999997;AHOLD Czech Republic, a. s.;;1859.2275999999999000;12348;15
Hasova 1999/5, Praha;Praha;14.425965900000000;50.014131399999997;Penny Market, s.r.o.;;38.5176999999999980;5456;1
Fuèíkova 1342/3, Jeseník;Jeseník;17.198350600000001;50.225488700000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Jeseník;27703.9758999999980000;11932;28
Brnìnská 514/13c, Vyškov;Vyškov;16.990585599999999;49.272654000000003;Tesco Stores ÈR, a.s.;Hypermarket Vyškov;3785.0960000000000000;1950;7
Milínská 134, Pøíbram;Pøíbram;14.008646400000000;49.686311900000000;Billa, s.r.o.;;5815.9923000000008000;8497;26
Brandlova 1640/2, Praha;Praha;14.514481699999999;50.032303400000004;Tesco Stores ÈR, a.s.;Supermarket Tesco Brandlova;30.2204000000000010;6532;1
tø. 17. listopadu 3170/41, Pøerov;Pøerov;17.457060299999998;49.453282899999998;Tesco Stores ÈR, a.s.;Supermarket Tesco Pøerov;74.7753000000000010;9604;1
Krèínova 809/11, Ústí nad Labem;Ústí nad Labem;14.072944200000000;50.668436999999997;Billa, s.r.o.;;1498.0814000000000000;9269;11
Èeskobrodská 200/23, Praha;Praha;14.513786700000001;50.093081099999999;Lidl Èeská republika, v.o.s.;;187.6360000000000000;400;7
Bezruèova 5429, Chomutov;Chomutov;13.402525300000001;50.465024100000001;Penny Market, s.r.o.;Penny Market;5308.6047000000008000;13144;18
Jana Palacha 1229, Mladá Boleslav;Mladá Boleslav;14.911733699999999;50.430199799999997;AHOLD Czech Republic, a. s.;;32.3175000000000030;3899;1
Bohúòova 1550/19, Praha;Praha;14.522366000000000;50.025906799999987;Penny Market, s.r.o.;;484.7866000000000200;10961;5
Okruní 881/7, Brno;Brno;16.624545200000000;49.221720599999998;Lidl Èeská republika, v.o.s.;;112.1142000000000000;7761;4
nám. Míru 101, Domalice;Domalice;12.927355500000001;49.439841299999998;AHOLD Czech Republic, a. s.;;11717.9839000000030000;8139;24
Starokolínská 1816, Praha;Praha;14.648767200000000;50.077542700000002;Penny Market, s.r.o.;;1791.9819000000000000;1294;12
Pod Stráištìm 5392, Chomutov;Chomutov;13.408162700000000;50.475946699999987;Penny Market, s.r.o.;;8972.8380999999990000;12115;18
Grmelova 2032/2, Ostrava;Ostrava;18.248497799999999;49.836295999999997;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava - Mariánské Hory;1187.8724000000000000;5468;16
Novolíšeòská 2805/15, Brno;Brno;16.687202700000000;49.208766699999998;AHOLD Czech Republic, a. s.;;4364.6626999999989000;17104;18
Brnìnská 1247, Rosice;Rosice;16.401933199999998;49.184562000000000;Penny Market, s.r.o.;Penny Market;10844.7090000000010000;14512;33
Evropská 175/32, Cheb;Cheb;12.374708000000000;50.074265599999997;AHOLD Czech Republic, a. s.;;24.3504000000000000;2930;1
Pivovarská 2396/21, Cheb;Cheb;12.380321800000001;50.077974699999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Cheb;1653.5246999999999000;2606;8
Postoloprtská 2786, Louny;Louny;13.775643799999999;50.355843399999998;Lidl Èeská republika, v.o.s.;;15982.7009000000020000;9641;48
Velkomoravská 488/29, Olomouc;Olomouc;17.248341900000000;49.582231700000001;Lidl Èeská republika, v.o.s.;;46.5381999999999960;2509;3
Elišky Pøemyslovny 1269, Praha 5;Praha;14.386508700000000;49.967932099999999;AHOLD Czech Republic, a. s.;;2794.2887999999998000;9145;15
Pod hranicí 1304/17, Praha;Praha;14.335511800000001;50.052093700000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha 5-Stodùlky;47.2137000000000030;11;1
tø. Práce 1960/1, Bruntál;Bruntál;17.463451899999999;49.981482700000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Bruntál;21826.2996000000020000;7000;23
Krokova 649/30, Karlovy Vary;Karlovy Vary;12.897414400000001;50.234907399999997;Billa, s.r.o.;;4321.2579000000005000;6555;15
Dlouhá tøída 1161/97, Havíøov;Havíøov;18.454146999999999;49.775651500000002;AHOLD Czech Republic, a. s.;;6191.5209999999997000;32065;29
Vídeòská 178, Vestec;Vestec;14.496993000000000;49.982527900000001;AHOLD Czech Republic, a. s.;;2538.8221000000003000;3205;10
nám. Republiky 1078/1, Praha 1;Praha;14.428721899999999;50.089186099999999;AHOLD Czech Republic, a. s.;;;;
Lipnická 3253/1c, Pøerov;Pøerov;17.440316200000002;49.462586600000002;Lidl Èeská republika, v.o.s.;;4706.4003000000002000;12340;19
Bìloveská 2085, Náchod;Náchod;16.176622099999999;50.418189499999997;Penny Market, s.r.o.;Penny Market;357.2451999999999500;2981;3
