ADRESA;MESTO;x;y;FIRMA;NAZEV;SUMVYMERU;SUMOBZSJ01;COUNT
Katovická 1306, Strakonice;Strakonice;13.891321100000001;49.263864699999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Strakonice;12986.8508999999990000;6365;49
Tìšínská 1486/19, Plzeò;Plzeò;13.407979400000000;49.750579199999997;Lidl Èeská republika, v.o.s.;;276.4884000000000100;6178;3
Tyršovo nám. 2218, Roztoky;Roztoky;14.393063600000000;50.161842399999998;AHOLD Czech Republic, a. s.;;4405.9381000000003000;12143;19
Radnièní 3400, Most;Most;13.639977800000000;50.501258399999998;AHOLD Czech Republic, a. s.;;93.2017999999999920;9702;3
Západní 1807/43, Karlovy Vary;Karlovy Vary;12.854431200000001;50.228451999999997;Penny Market, s.r.o.;Penny Market;888.9587000000000200;4450;3
Opatovská 960/20, Praha;Praha;14.532848200000000;50.030614100000001;Lidl Èeská republika, v.o.s.;;46.4472999999999980;5658;1
Záhlinická 1059, Hulín;Hulín;17.472952700000000;49.313202800000013;AHOLD Czech Republic, a. s.;;8556.6558999999997000;13351;17
Èeskobrodská 920, Praha;Praha;14.578729800000000;50.085250199999997;Billa, s.r.o.;;1440.9181000000003000;4271;11
Vítìzná 118, Kladno;Kladno;14.080975300000000;50.140366399999998;Penny Market, s.r.o.;Penny Market;5241.7449999999999000;19843;18
Boeny Nìmcové 2057, Sokolov;Sokolov;12.652569800000000;50.173906600000002;Penny Market, s.r.o.;Penny Market;3693.9132000000000000;8823;15
Okruní 5290, Zlín;Zlín;17.667421300000001;49.235724900000001;Billa, s.r.o.;;;;
Jablonecká, Praha;Praha;14.495660700000000;50.123303100000001;Billa, s.r.o.;;64.1571000000000000;5843;3
Makovského 1349/2a, Praha 6;Praha;14.308579699999999;50.064855399999999;AHOLD Czech Republic, a. s.;;38.4463000000000010;7255;1
Hornomìcholupská 492, Praha;Praha;14.566962600000000;50.041382800000001;Billa, s.r.o.;;1420.5692999999999000;8893;11
Dukelská 2974/2, Opava;Opava;17.888520000000000;49.937862899999999;Lidl Èeská republika, v.o.s.;;270.4934000000000100;1860;7
Sokolská 5300, Zlín;Zlín;17.686294799999999;49.237348300000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Zlín;5861.9287999999997000;13263;13
Polní 604/29, Liberec;Liberec;15.038146100000001;50.782993800000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Liberec;1433.4886000000001000;2549;8
Cihelní 1345/2, Bruntál;Bruntál;17.457192200000001;49.985562500000000;Tesco Stores ÈR, a.s.;Supermarket Bruntál;2177.6383000000001000;5291;4
Pivovarská 700, Domalice;Domalice;12.926806900000001;49.442768999999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Domalice;15037.6193000000020000;6052;34
Pøímìtická 2625/76, Znojmo;Znojmo;16.039213100000001;48.871172500000000;Penny Market, s.r.o.;;24936.4505999999960000;14238;37
Bedøicha Nikodema 360/1, Ostrava;Ostrava;18.170202000000000;49.842670599999998;Penny Market, s.r.o.;;199.5360999999999800;11816;3
Kolaøíkova 1497/1, Brno;Brno;16.581457900000000;49.247300199999998;Billa, s.r.o.;;1557.2517999999998000;15946;17
Kounicova 966/67a, Brno;Brno;16.593356799999999;49.209908100000000;Billa, s.r.o.;;124.4651000000000100;4311;3
Hrdinù 1848, Jirkov;Jirkov;13.441211900000001;50.490875699999997;Penny Market, s.r.o.;Penny Market;57.8175999999999990;4346;2
Spálená 2121/22, Praha;Praha;14.419799700000000;50.080106999999998;Billa, s.r.o.;;30.3999999999999990;3266;1
Foerstrova 716/19, Olomouc;Olomouc;17.234939600000001;49.591121500000000;AHOLD Czech Republic, a. s.;;62.8341999999999960;6526;2
Masarykovo námìstí 3090/15, Ostrava;Ostrava;18.292938800000002;49.836575000000003;Billa, s.r.o.;;485.0973000000000800;6951;9
Jugoslávskıch partyzánù 1580/3, Praha;Praha;14.394595199999999;50.104199100000002;Billa, s.r.o.;;287.7783000000000000;15981;7
Podbabská, Praha;Praha;14.392823399999999;50.115890500000013;Kaufland Èeská republika, v.o.s.;Kaufland Praha Podbabská;135.0617000000000000;637;6
Brnìnská 471/11, Vyškov;Vyškov;16.992196900000000;49.273807099999999;Lidl Èeská republika, v.o.s.;;84.2741999999999930;65;1
Eèerova 1148/2a, Brno;Brno;16.526415600000000;49.216176999999988;AHOLD Czech Republic, a. s.;;;;
Na Petøinách 1945/55, Praha;Praha;14.344988700000000;50.087950300000003;Billa, s.r.o.;;155.2674000000000100;11516;5
Závodní 1843, Petøvald;Petøvald;18.389297599999999;49.829237199999987;Penny Market, s.r.o.;;2104.8249999999998000;10433;4
