mesto	AHOLD Czech Republic, a. s.	Billa, s.r.o.	Globus ČR, k.s.	Kaufland Česká republika, v.o.s.	Lidl Česká republika, v.o.s.	Penny Market, s.r.o.	Spar Česká obchodní společnost, s.r.o.	Tesco Stores ČR, a.s.
Chrudim	19.18	26.94	0.00	8.75	7.06	18.21	0.00	19.87
Písek	12.40	0.00	0.00	18.79	19.67	43.35	0.00	5.79
Vyškov	44.31	0.00	0.00	51.32	0.13	0.00	0.00	4.24
Louny	13.84	3.79	0.00	28.68	27.72	25.97	0.00	0.00
Klatovy	28.03	27.93	0.00	18.73	1.72	9.98	0.00	13.61
Jindřichův Hradec	3.96	16.88	0.00	25.90	25.19	28.07	0.00	0.00
Kroměříž	18.49	10.30	0.00	12.50	11.10	6.77	23.77	17.07
Žďár nad Sázavou	15.46	0.00	0.00	7.45	29.98	47.11	0.00	0.00
Strakonice	0.00	46.91	0.00	24.74	15.73	12.61	0.00	0.00
Litoměřice	44.01	0.00	0.00	17.56	21.61	5.91	10.91	0.00
Blansko	48.40	2.83	0.00	44.76	1.44	2.57	0.00	0.00
Jeseník	4.00	51.72	0.00	31.38	3.18	9.72	0.00	0.00
Uherské Hradiště	42.82	2.63	0.00	33.52	3.07	5.46	0.00	12.50
Havlíčkův Brod	16.51	31.74	0.00	13.92	8.87	28.96	0.00	0.00
Rakovník	18.79	17.78	0.00	0.00	13.19	27.36	0.00	22.88
Sokolov	0.00	28.48	0.00	3.23	11.97	45.42	0.00	10.90
Kutná Hora	8.71	40.35	0.00	30.05	0.00	20.90	0.00	0.00
Nový Jičín	22.75	0.00	0.00	44.03	25.43	0.00	7.78	0.00
Jičín	0.00	13.26	0.00	55.07	6.11	3.80	0.00	21.76
Bruntál	0.00	12.10	0.00	24.57	17.73	28.57	0.00	17.03
Cheb	10.61	8.80	0.00	4.50	7.15	22.94	36.54	9.46
Kravaře	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Mělník	0.00	0.00	0.00	39.96	3.75	26.43	0.00	29.87
Český Krumlov	0.00	0.00	0.00	70.49	24.15	1.21	0.00	4.15
Havířov	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Pelhřimov	0.00	20.80	0.00	19.12	19.86	40.23	0.00	0.00
Nymburk	35.41	0.00	0.00	3.22	7.92	53.44	0.00	0.00
Prachatice	0.00	0.00	0.00	21.02	31.43	47.55	0.00	0.00
Rychnov nad Kněžnou	0.00	17.27	0.00	21.10	25.81	29.56	0.00	6.26
Náchod	20.99	22.03	0.00	15.77	7.32	33.89	0.00	0.00
Svitavy	45.39	13.23	0.00	5.03	30.58	5.78	0.00	0.00
Beroun	48.32	15.17	0.00	8.41	3.00	25.10	0.00	0.00
Tachov	36.65	2.39	0.00	0.00	5.45	36.85	0.00	18.66
Šlapanice	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jirkov	0.00	0.00	0.00	0.00	0.00	63.92	0.00	36.08
Jevíčko	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Benešov	0.00	42.18	0.00	9.33	7.58	40.90	0.00	0.00
Domažlice	29.57	0.00	0.00	36.09	0.00	34.34	0.00	0.00
Skuteč	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Ústí nad Orlicí	44.69	0.00	0.00	0.00	34.30	14.99	0.00	6.01
Tišnov	0.00	0.00	0.00	0.00	0.00	42.08	0.00	57.92
Vizovice	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Rosice	0.00	0.00	0.00	0.00	21.69	78.31	0.00	0.00
Litvínov	0.00	0.00	0.00	7.73	1.30	0.00	0.00	90.96
Boskovice	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Okříšky	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Hlučín	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Velká Bystřice	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Staré Město	27.57	0.00	0.00	0.00	15.28	0.00	57.15	0.00
Český Těšín	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00
Roztoky	49.63	0.00	0.00	0.00	0.00	0.00	0.00	50.37
Semily	31.36	0.00	0.00	0.00	18.74	24.12	0.00	25.78
Kunovice	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Králův Dvůr	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Hlinsko	0.00	42.07	0.00	0.00	57.93	0.00	0.00	0.00
Přelouč	0.00	0.00	0.00	0.00	0.00	51.66	0.00	48.34
Kostelec nad Orlicí	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Ždírec nad Doubravou	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Týnec nad Sázavou	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Kralice na Hané	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00
Františkovy Lázně	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Letovice	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Hulín	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Zubří	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Benešov nad Ploučnicí	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Dobřany	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Chropyně	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Humpolec	0.00	0.00	0.00	0.00	57.14	42.86	0.00	0.00
Ostrava Dubina	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Kuřim	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Ostrava Zábřeh	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Třebechovice pod Orebem	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Doksy	0.00	0.00	0.00	0.00	65.34	34.66	0.00	0.00
Hronov	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Adamov	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Bohumín	73.01	0.00	0.00	26.99	0.00	0.00	0.00	0.00
Kynšperk nad Ohří	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Černošice	0.00	81.20	0.00	0.00	0.00	18.80	0.00	0.00
Úvaly	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Petřvald	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Horní Slavkov	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Chrastava	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Třešť	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Valašské Meziříčí	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Chotěboř	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Cvikov	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Rychvald	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Bystřice nad Pernštejnem	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Chotíkov u Plzně	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00
Hostivice	0.00	0.00	0.00	0.00	31.18	68.82	0.00	0.00
Trmice	0.00	0.00	68.79	0.00	0.00	31.21	0.00	0.00
Česká Třebová	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Šenov u Nového Jičína	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Nové Město na Moravě	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Kosmonosy	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Mimoň	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Horoměřice	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Říčany	0.00	40.42	0.00	0.00	6.27	53.31	0.00	0.00
Bílina	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Chlumec nad Cidlinou	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Úpice	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Orlová	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Lovosice	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Jenišov u Karlových Varů	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00
Planá	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
Vratimov	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Třemošná	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00
Vestec	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Čestlice	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00
Prostřední Suchá	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00
Průhonice	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00
Modletice	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00
Otvice	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00
Držovice	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
