ADRESA;x;y;FIRMA;NAZEV
Platanová 596, Benátky nad Jizerou;14.8227997;50.28400449999999;Billa, s.r.o.;
Komenského námìstí 2771, Louny;13.8029162;50.3562476;Billa, s.r.o.;
nám. 3. kvìtna 1301, Otrokovice;17.5361202;49.2068251;Billa, s.r.o.;
Bìlohorská 228/101, Praha;14.3667121;50.0839216;Billa, s.r.o.;
Masarykova 1538/3, Hoøovice;13.8947326;49.8365255;Billa, s.r.o.;
Ès. armády 3189, Kladno;14.0888395;50.143387;Billa, s.r.o.;
Horní Brašov 759, Tın nad Vltavou;14.4199071;49.2239012;Billa, s.r.o.;
Na Petøinách 1945/55, Praha;14.3449887;50.0879503;Billa, s.r.o.;
Pionırù 2025, Sokolov;12.6490661;50.1825173;Billa, s.r.o.;
Maøákova 1198, Litomyšl;16.3108728;49.8674352;Billa, s.r.o.;
Na hrázi 177/4, Praha;14.4736871;50.1051009;Billa, s.r.o.;
Øetìzová 1368/15, Dìèín;14.21116;50.7809459;Billa, s.r.o.;
nábø. Dr. Beneše 2509, Rakovník;13.7410457;50.09888540000001;Billa, s.r.o.;
Kosmonautù 2109/7, Zábøeh;16.8741913;49.8799656;Billa, s.r.o.;
Bezruèova 651/6a, Jeseník;17.2061611;50.2371674;Billa, s.r.o.;
Alejní 3198, Teplice;13.8213971;50.6365799;Billa, s.r.o.;
Vosátkova 285/1, Praha;14.4372262;50.015001;Billa, s.r.o.;
Wilsonova 300/8, Praha;14.4350214;50.0832387;Billa, s.r.o.;
Jeremiášova 486/1, Olomouc;17.2477159;49.5759392;Billa, s.r.o.;
Opavská 1927/23a, Hluèín;18.1834284;49.897852;Billa, s.r.o.;
Velehradská tøída, Uherské Hradištì;17.462898;49.0705417;Billa, s.r.o.;
Bezruèova 2246/31a, Krnov;17.6888737;50.0925202;Billa, s.r.o.;
Seifertova 160, Kolín;15.1970381;50.0234209;Billa, s.r.o.;
Divišova 1500, amberk;16.462059;50.0859616;Billa, s.r.o.;
Nádraní 2329/19, Šternberk;17.2884003;49.720119;Billa, s.r.o.;
Aviatická 1017/2, Praha;14.2675658;50.1077261;Billa, s.r.o.;
Bílinská 3490/6, Ústí nad Labem;14.0410872;50.6586656;Billa, s.r.o.;
Okruní 5290, Zlín;17.6674213;49.2357249;Billa, s.r.o.;
Rooseveltova 46, Chrudim;15.7897699;49.9488479;Billa, s.r.o.;
námìstí Míru 174, Zlín;17.6681534;49.226558;Billa, s.r.o.;
Chomutovská 1316, Most;13.6329122;50.5015549;Billa, s.r.o.;
Vlasákova 1830, Vlašim;14.8998534;49.7097445;Billa, s.r.o.;
Hornomìcholupská 492, Praha;14.5669626;50.0413828;Billa, s.r.o.;
Vavøenova 1172/12, Praha;14.4274107;50.0243279;Billa, s.r.o.;
Mánesova 2159, Tachov;12.6341411;49.7987706;Billa, s.r.o.;
Staromìstská 3290, Frıdek-Místek;18.3570647;49.67798879999999;Billa, s.r.o.;
Kolaøíkova 1497/1, Brno;16.5814579;49.2473002;Billa, s.r.o.;
Terezínská 1120, Lovosice;14.0608702;50.5114684;Billa, s.r.o.;
Spálená 2121/22, Praha;14.4197997;50.080107;Billa, s.r.o.;
Praská 2643/72, Znojmo;16.0380838;48.8658648;Billa, s.r.o.;
Na Kasárnách 1632, Humpolec;15.3537221;49.5426996;Billa, s.r.o.;
Rorejcova 906, Kolín;15.2093322;50.0257091;Billa, s.r.o.;
Podkrušnohorská 1725, Litvínov;13.6266337;50.6084943;Billa, s.r.o.;
Resslova 1810, Kraslice;12.5061535;50.3307185;Billa, s.r.o.;
Bìlehradská 350/50, Praha;14.4328194;50.0687912;Billa, s.r.o.;
Otáhalova 3157, Varnsdorf;14.6247845;50.91011210000001;Billa, s.r.o.;
Marxova 136/21, Moravská Tøebová;16.6619063;49.7594648;Billa, s.r.o.;
Obchodní 113, Èestlice;14.5765993;50.0022202;Billa, s.r.o.;
acléøská 1040/1, Praha;14.5503263;50.1321563;Billa, s.r.o.;
Sokolovská 1959, Èelákovice;14.7435603;50.1600937;Billa, s.r.o.;
F. S. Tùmy 1331, Orlová;18.4361518;49.8778397;Billa, s.r.o.;
Køídlovická 911/34, Brno;16.602053;49.1854489;Billa, s.r.o.;
Plzeòská 230, Beroun;14.059348;49.95726759999999;Billa, s.r.o.;
tø. Václava Klementa 1459, Mladá Boleslav;14.9154608;50.4202598;Billa, s.r.o.;
Havlíèkova 4797/12, Jihlava;15.5889826;49.4003684;Billa, s.r.o.;
Skupova 490/24, Plzeò;13.3730021;49.7232113;Billa, s.r.o.;
Masarykova 1612, Holešov;17.585964;49.3284852;Billa, s.r.o.;
Milínská 134, Pøíbram;14.0086464;49.6863119;Billa, s.r.o.;
námìstí Svobody 702/9, Brno;16.6092161;49.1948363;Billa, s.r.o.;
námìstí Republiky 1400, Pardubice;15.7764469;50.0379401;Billa, s.r.o.;
Karlovo námìstí 2097/10, Praha;14.4187858;50.0754072;Billa, s.r.o.;
Sokolovská 69/14, Praha;14.440054;50.0911535;Billa, s.r.o.;
Nádraní 1514, Milevsko;14.3663488;49.44641679999999;Billa, s.r.o.;
Kojetická 1022, Neratovice;14.5207296;50.2537949;Billa, s.r.o.;
Stránského 3033/28, Brno;16.5679193;49.21239689999999;Billa, s.r.o.;
Konìvova 188/30, Praha;14.4569821;50.0877775;Billa, s.r.o.;
Nádraní 172, Klatovy;13.2876174;49.3986305;Billa, s.r.o.;
Arménská, Kladno;14.1376438;50.1343797;Billa, s.r.o.;
Vnouèkova 1699, Benešov;14.6882711;49.7834367;Billa, s.r.o.;
Ladova 3325/2a, Ústí nad Labem;14.0278333;50.6784784;Billa, s.r.o.;
Plzeòská 1700/9, Dìèín;14.1990999;50.7729102;Billa, s.r.o.;
Radimova 2322/40, Praha;14.3661864;50.08785049999999;Billa, s.r.o.;
Husova 398, Moravské Budìjovice;15.8127492;49.0497355;Billa, s.r.o.;
Hynaisova 554/11, Olomouc;17.2456702;49.597325;Billa, s.r.o.;
Husova 452, Vysoké Mıto;16.1621943;49.94437629999999;Billa, s.r.o.;
Plumlovská 4210/104, Prostìjov;17.0912149;49.4730494;Billa, s.r.o.;
Republikánské obrany 916/7, Mikulov;16.631514;48.8003524;Billa, s.r.o.;
Talichova 4312/39, Kromìøí;17.3958737;49.28680629999999;Billa, s.r.o.;
atecká 987, Podboøany;13.414478;50.2339573;Billa, s.r.o.;
Benešova tøída 1304, Nıøany;13.2202603;49.7166508;Billa, s.r.o.;
Ringhofferovo námìstí 550, Kamenice;14.5858613;49.90397919999999;Billa, s.r.o.;
Makovského námìstí 2574/1, Brno;16.5764408;49.2185303;Billa, s.r.o.;
Studentská 1926, Hranice;17.7295199;49.5514681;Billa, s.r.o.;
Podpìrova 518/6, Brno;16.5840677;49.2384987;Billa, s.r.o.;
Hrdinù odboje 1606, Rychnov nad Knìnou;16.2834121;50.1577768;Billa, s.r.o.;
Kopaniny, Pøerov;17.4486034;49.4600247;Billa, s.r.o.;
Fr. Køiíka 505, Tábor;14.6645237;49.4130581;Billa, s.r.o.;
Hráského 2231/25, Praha;14.4907671;50.0288554;Billa, s.r.o.;
Jankovcova 1603/47a, Praha;14.455057;50.1066973;Billa, s.r.o.;
Praská 1204, Kostelec nad Èernımi lesy;14.846537;49.9926701;Billa, s.r.o.;
Zborovská 5342, Chomutov;13.412508;50.4647487;Billa, s.r.o.;
Na Rybníèku 874/1, Liberec;15.0512017;50.7655077;Billa, s.r.o.;
ukovského 888/2, Praha;14.3092587;50.0907215;Billa, s.r.o.;
Svitavská 1146/16, Blansko;16.6410213;49.3285638;Billa, s.r.o.;
tø. 17. listopadu 23/2, Karviná;18.5412803;49.85624989999999;Billa, s.r.o.;
námìstí Svornosti 2573/6, Brno;16.5816527;49.2152572;Billa, s.r.o.;
Rybnièní 2744, Aš;12.1912779;50.2213;Billa, s.r.o.;
Smila Osovského 199/3, Tøebíè;15.8837969;49.2154925;Billa, s.r.o.;
Na Pøíkopì 3162, Frıdek-Místek;18.3496778;49.681517;Billa, s.r.o.;
T. G. Masaryka 2023/10, Karlovy Vary;12.8722556;50.22952129999999;Billa, s.r.o.;
Na Pastvisku 1571/5, Opava;17.9080265;49.9482846;Billa, s.r.o.;
Skuteckého 49/3, Praha;14.3105154;50.0653133;Billa, s.r.o.;
Vráská 1507, Praha;14.3656492;49.9853691;Billa, s.r.o.;
Jugoslávskıch partyzánù 1580/3, Praha;14.3945952;50.1041991;Billa, s.r.o.;
Siemensova 2716/2, Praha;14.3059722;50.0480356;Billa, s.r.o.;
Potoèní 629/13, Vejprty;13.0315028;50.4989344;Billa, s.r.o.;
Pekárenská 2783/39, Èeské Budìjovice;14.4808581;48.9827711;Billa, s.r.o.;
Sedlecká 599, Sedlèany;14.4281482;49.6536382;Billa, s.r.o.;
námìstí Republiky 43, Kolín;15.1970288;50.0275819;Billa, s.r.o.;
Poštovní 2891/11, Jablonec nad Nisou;15.1661688;50.7238463;Billa, s.r.o.;
Jablunkovská 836/10, Èeskı Tìšín;18.6209888;49.7430903;Billa, s.r.o.;
Masarykovo námìstí 3090/15, Ostrava;18.2929388;49.836575;Billa, s.r.o.;
Kounicova 966/67a, Brno;16.5933568;49.2099081;Billa, s.r.o.;
nám. F. Køiíka 505/23, Tábor;14.6645237;49.4130581;Billa, s.r.o.;
Køenová 273/73, Brno;16.6256224;49.1913601;Billa, s.r.o.;
Krkonošská 647, Tanvald;15.3086944;50.7363064;Billa, s.r.o.;
Husova 1058, Jièín;15.3629909;50.4352565;Billa, s.r.o.;
Sokolovské námìstí 1557, Pøelouè;15.5555511;50.0393374;Billa, s.r.o.;
Modletice 67, Modletice;14.6055309;49.97688669999999;Billa, s.r.o.;
Okruní 855/33, Brno;16.6221052;49.23414649999999;Billa, s.r.o.;
Poèernická 272/96, Praha;14.5095611;50.0829356;Billa, s.r.o.;
Mánesova 1948, Èeské Budìjovice;14.4724813;48.96781679999999;Billa, s.r.o.;
Na Ohradì 2, Strakonice;13.9079565;49.25893790000001;Billa, s.r.o.;
Háj 358, Kralice na Hané;17.1440815;49.4909052;Billa, s.r.o.;
Jiráskova 67, Rokycany;13.5950781;49.7406085;Billa, s.r.o.;
Nádraní 1310, Strakonice;13.9141333;49.2557158;Billa, s.r.o.;
Lidická 3047/50, Šumperk;16.9846871;49.9649592;Billa, s.r.o.;
Táborská 111/1, Tøebíè;15.8714399;49.223707;Billa, s.r.o.;
V celnici 1031/4, Praha;14.4300736;50.0878856;Billa, s.r.o.;
Korunní 810/104, Praha;14.456312;50.07533970000001;Billa, s.r.o.;
Palachova 1404, Liberec;15.0600472;50.7688122;Billa, s.r.o.;
Krkonošská 16, Vrchlabí;15.6094974;50.6285138;Billa, s.r.o.;
8. kvìtna 465/24, Olomouc;17.2501507;49.59528599999999;Billa, s.r.o.;
Studentská 1651, Turnov;15.1384814;50.5885318;Billa, s.r.o.;
9. kvìtna 155, Bohumín;18.3528796;49.8996951;Billa, s.r.o.;
arošická 4292/30, Brno;16.6643918;49.20608379999999;Billa, s.r.o.;
Lhotecká 2109/2d, Praha;14.4303416;50.01554609999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha - Lhotecká
Dr. E. Beneše, Èeská Tøebová;16.4409814;49.9101424;Kaufland Èeská republika, v.o.s.;OD Kaufland Èeská Tøebová
Urbinská 236, Èeskı Krumlov;14.3300958;48.8241173;Kaufland Èeská republika, v.o.s.;OD Kaufland Èeskı Krumlov
Rovná, Boskovice;16.6414495;49.4890005;Kaufland Èeská republika, v.o.s.;OD Kaufland Boskovice
Stolaøská 1758, Veselí nad Moravou;17.3846272;48.9511517;Kaufland Èeská republika, v.o.s.;OD Kaufland Veselí nad Moravou
Jateèní 5156/4, Jablonec nad Nisou;15.1586171;50.7153003;Kaufland Èeská republika, v.o.s.;OD Kaufland Jablonec nad Nisou II.
Podbabská, Praha;14.3928234;50.11589050000001;Kaufland Èeská republika, v.o.s.;Kaufland Praha Podbabská
Jiráskova, Litvínov;13.61856;50.5995295;Kaufland Èeská republika, v.o.s.;OD Kaufland Litvínov
Vıškovická 3086/44, Ostrava;18.2306234;49.80027219999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava-Zábøeh
Italská 50, Kladno;14.1166451;50.1311561;Kaufland Èeská republika, v.o.s.;OD Kaufland Kladno
Dukelskıch bojovníkù 3632/156, Znojmo;16.0643098;48.8371659;Kaufland Èeská republika, v.o.s.;OD Kaufland Znojmo
U stadionu 1276, Mladá Boleslav;14.9122695;50.42494720000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Mladá Boleslav
Bìlehradská 628, Pardubice;15.7612465;50.0475712;Kaufland Èeská republika, v.o.s.;OD Kaufland Pardubice
Na Sádkách 1444, Èeské Budìjovice;14.4627332;48.9737515;Kaufland Èeská republika, v.o.s.;OD Kaufland Èeské Budìjovice
Sokolská 5300, Zlín;17.6862948;49.2373483;Kaufland Èeská republika, v.o.s.;OD Kaufland Zlín
Grmelova 2032/2, Ostrava;18.2484978;49.836296;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava - Mariánské Hory
Obchodní zóna 260, Otvice;13.4444537;50.4845952;Kaufland Èeská republika, v.o.s.;OD Kaufland Chomutov-Otvice
Pøed Tratí 891/2, Havíøov;18.4424035;49.7874813;Kaufland Èeská republika, v.o.s.;OD Kaufland Havíøov
Okruní 4262/10, Prostìjov;17.1178733;49.46243;Kaufland Èeská republika, v.o.s.;OD Kaufland Prostìjov
Okruní 3368/7, Ústí nad Labem;14.0206331;50.6629123;Kaufland Èeská republika, v.o.s.;OD Kaufland Ústí nad Labem
Vítìzná 2886/6, Šumperk;16.9752316;49.9741513;Kaufland Èeská republika, v.o.s.;OD Kaufland Šumperk
Bohosudovská 1882, Teplice;13.8473064;50.65592650000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Teplice
Polní 604/29, Liberec;15.0381461;50.7829938;Kaufland Èeská republika, v.o.s.;OD Kaufland Liberec
Oblouková 1395/4, Dìèín;14.2165766;50.7748959;Kaufland Èeská republika, v.o.s.;OD Kaufland Dìèín
Horská 647, Trutnov;15.8906125;50.5836121;Kaufland Èeská republika, v.o.s.;OD Kaufland Trutnov
Obvodová 3310/13a, Kromìøí;17.4054443;49.2920196;Kaufland Èeská republika, v.o.s.;OD Kaufland Kromìøí
Katovická 1306, Strakonice;13.8913211;49.2638647;Kaufland Èeská republika, v.o.s.;OD Kaufland Strakonice
Volgogradská 2972, Tábor;14.6878474;49.3936251;Kaufland Èeská republika, v.o.s.;OD Kaufland Tábor
B. Martinù 2097/30, Novı Jièín;18.0019605;49.58581909999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Novı Jièín
Lochotínská 1108/18, Plzeò;13.3769457;49.75391;Kaufland Èeská republika, v.o.s.;OD Kaufland Plzeò
Leonovova 2015/2, Karviná;18.5537146;49.8633106;Kaufland Èeská republika, v.o.s.;OD Kaufland Karviná
U plynárny 1432/64, Praha;14.4664806;50.05673160000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha 4-Michle
Koneèná 4010/4, Hodonín;17.138204;48.8569362;Kaufland Èeská republika, v.o.s.;OD Kaufland Hodonín
Pod hranicí 1304/17, Praha;14.3355118;50.0520937;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha 5-Stodùlky
Polská 6191/21, Ostrava;18.1895767;49.8203478;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava-Poruba
Polská 379, Náchod;16.1914783;50.4239245;Kaufland Èeská republika, v.o.s.;OD Kaufland Náchod
Štefánikova 1410/18d, Kopøivnice;18.1485374;49.6006489;Kaufland Èeská republika, v.o.s.;OD Kaufland Kopøivnice
Kamenice 745/1, Brno;16.5820282;49.173967;Kaufland Èeská republika, v.o.s.;OD Kaufland Brno-Bohunice
U Kostela 4754/37, Jablonec nad Nisou;15.1685306;50.7389312;Kaufland Èeská republika, v.o.s.;OD Kaufland Jablonec nad Nisou
U Nákladního nádraí 848, Valašské Meziøíèí;17.9645336;49.4770402;Kaufland Èeská republika, v.o.s.;OD Kaufland Valašské Meziøíèí
Na Prùtahu 1960, Kadaò;13.2754581;50.38349359999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Kadaò
Pilnáèkova 436/11, Hradec Králové;15.8391955;50.2174985;Kaufland Èeská republika, v.o.s.;OD Kaufland Hradec Králové
Revoluèní 3470, Frıdek-Místek;18.347866;49.68739979999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Frıdek Místek
Šumavská 782, Klatovy;13.2947593;49.388082;Kaufland Èeská republika, v.o.s.;OD Kaufland Klatovy
Jasenická 311, Vsetín;18.0061987;49.3321105;Kaufland Èeská republika, v.o.s.;OD Kaufland Vsetín
Na Kocandì 2201/35, Litomìøice;14.14601;50.5364561;Kaufland Èeská republika, v.o.s.;OD Kaufland Litomìøice
Kadaòská 3034, atec;13.5290819;50.32353879999999;Kaufland Èeská republika, v.o.s.;OD Kaufland atec
Vítkovická 3278/3, Ostrava;18.2806238;49.82886999999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava-Moravská Ostrava
Tyršovo nábøeí 5496, Zlín;17.6621286;49.2294969;Kaufland Èeská republika, v.o.s.;OD Kaufland Zlín-Èepkov
Èervené Vršky 2217, Benešov;14.6828334;49.7938148;Kaufland Èeská republika, v.o.s.;OD Kaufland Benešov
Dvoøákova 4115/6, Hodonín;17.1181036;48.8532638;Kaufland Èeská republika, v.o.s.;OD Kaufland Hodonín II.
Obchodní 250, Beroun;14.0605227;49.9565898;Kaufland Èeská republika, v.o.s.;OD Kaufland Beroun
Slovenského národního povstání 1081, Chrudim;15.8105962;49.9476391;Kaufland Èeská republika, v.o.s.;OD Kaufland Chrudim
Jarošova 1234/2, Znojmo;16.0554639;48.860372;Kaufland Èeská republika, v.o.s.;OD Kaufland Znojmo II.
Ouvalova 1844, Slanı;14.0888791;50.2273658;Kaufland Èeská republika, v.o.s.;OD Kaufland Slanı
Riegrova 1148, Jièín;15.3554956;50.4320499;Kaufland Èeská republika, v.o.s.;OD Kaufland Jièín
U Stadionu 1640/1, Havíøov;18.4448722;49.771669;Kaufland Èeská republika, v.o.s.;OD Kaufland Havíøov II.
9. kvìtna 1197, Bohumín;18.3504202;49.8992547;Kaufland Èeská republika, v.o.s.;OD Kaufland Bohumín
Bìlohorská 2428/203, Praha;14.3411489;50.0778398;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha-Vypich
Sukova 2895/23, Plzeò;13.3623887;49.7280785;Kaufland Èeská republika, v.o.s.;OD Kaufland Plzeò II.
17. listopadu 3111, Dvùr Králové nad Labem;15.817649;50.427405;Kaufland Èeská republika, v.o.s.;OD Kaufland Dvùr Králové nad Labem
Leštinská 2336/2, Zábøeh;16.8870743;49.87602589999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Zábøeh
Na Øadech 2347/1, Blansko;16.6429651;49.3704744;Kaufland Èeská republika, v.o.s.;OD Kaufland Blansko
Štursova 1124/3, Olomouc;17.2718849;49.5884452;Kaufland Èeská republika, v.o.s.;OD Kaufland Olomouc
Prùmyslová 2565, Písek;14.1260801;49.3215764;Kaufland Èeská republika, v.o.s.;OD Kaufland Písek
Sportovní 594/21, Brno;16.6042092;49.2153435;Kaufland Èeská republika, v.o.s.;OD Kaufland Brno-Ponava
Bubeníèkova 4405/1, Brno;16.6369526;49.2029823;Kaufland Èeská republika, v.o.s.;OD Kaufland Brno-idenice
tø. Práce 1960/1, Bruntál;17.4634519;49.9814827;Kaufland Èeská republika, v.o.s.;OD Kaufland Bruntál
Ostravská 2030/77, Èeskı Tìšín;18.6075874;49.7465556;Kaufland Èeská republika, v.o.s.;OD Kaufland Èeskı Tìšín
Pivovarská 700, Domalice;12.9268069;49.442769;Kaufland Èeská republika, v.o.s.;OD Kaufland Domalice
Bìlohradská 3855, Havlíèkùv Brod;15.5859417;49.6015004;Kaufland Èeská republika, v.o.s.;OD Kaufland Havlíèkùv Brod
Drustevní 2034, Hranice;17.7409354;49.5577489;Kaufland Èeská republika, v.o.s.;OD Kaufland Hranice
Pivovarská 2396/21, Cheb;12.3803218;50.0779747;Kaufland Èeská republika, v.o.s.;OD Kaufland Cheb
Nádraní 2376, ïár nad Sázavou;15.9388874;49.5584859;Kaufland Èeská republika, v.o.s.;OD Kaufland ïár nad Sázavou
Mimoòská 3090, Èeská Lípa;14.5409665;50.680746;Kaufland Èeská republika, v.o.s.;OD Kaufland Èeská Lípa
Všeboøická 389, Ústí nad Labem;13.9947203;50.6845101;Kaufland Èeská republika, v.o.s.;Kaufland Ústí nad Labem II.
B. Egermanna 881, Novı Bor;14.5479776;50.7634729;Kaufland Èeská republika, v.o.s.;OD Kaufland Novı Bor
Alej 17. listopadu 2720, Roudnice nad Labem;14.246123;50.4238356;Kaufland Èeská republika, v.o.s.;Kaufland Roudnice nad Labem
Dr. E. Beneše, Otrokovice;17.5343431;49.2011773;Kaufland Èeská republika, v.o.s.;Kaufland Otrokovice
Štemberkova, Rychnov nad Knìnou;16.2788507;50.1551218;Kaufland Èeská republika, v.o.s.;Kaufland Rychnov nad Knìnou
