ADRESA;x;y;FIRMA;NAZEV
Generála Svobody 603/75, Liberec;15.0507091;50.7845461;Billa, s.r.o.;851
Hlavní, Frıdlant nad Ostravicí;18.3596017;49.58666580000001;Billa, s.r.o.;Filiálka è.717,
Milady Horákové 24, Èeské Budìjovice;14.440706;48.9801903;Billa, s.r.o.;Filiálka è. 309
17.listopadu, Tıništì nad Orlicí;16.0795109;50.1466958;Billa, s.r.o.;Billa è.SM 514
tø. 1. máje 553/2, Bøeclav;16.8693374;48.7537145;Billa, s.r.o.;Supermarket Billa
Plovdivská 3426/7, Praha;14.4184211;50.0065295;Billa, s.r.o.;supermarket
Tkalcovská 350, Èeská Tøebová;16.4396792;49.90283909999999;Billa, s.r.o.;supermarket
Mazancova 3058/2, Praha;14.4201865;50.013092;Billa, s.r.o.;LABE
Køejpského 1752/2, Praha;14.5150997;50.02562700000001;Billa, s.r.o.;Rozvoj
Dìlnická, Praha;14.4499482;50.1032518;Billa, s.r.o.;Argentinská
Tilleho nám. 793/1, Praha;14.3777231;50.0345045;Billa, s.r.o.;Barrandov
Jeremiášova 1239/7a, Praha;14.3146841;50.0427513;Billa, s.r.o.;Stodùlky
Lodská 814/24a, Praha;14.4217958;50.1306732;Billa, s.r.o.;Lodská
Archeologická 2256/1, Praha;14.3315592;50.044064;Billa, s.r.o.;Luiny
Budìjovická 1667/64, Praha;14.4491012;50.0437773;Billa, s.r.o.;DBK
Èernokostelecká 1919/12, Øíèany;14.654039;50.0056611;Billa, s.r.o.;Supermarket Billa Øíèany
Meziøíèská 2306, Ronov pod Radhoštìm;18.1305929;49.460136;Billa, s.r.o.;Supermarket Billa Ronov pod Radhoštìm
Švermova 362, Liberec;15.0348126;50.7610712;Billa, s.r.o.;Supermarket BILLA
Patrice Lumumby 2444/1, Ostrava;18.228076;49.7882368;Billa, s.r.o.;BILLA-LUNA
Brnìnská 241, Nové Mìsto na Moravì;16.0780975;49.5618823;Billa, s.r.o.;
Masarykova 2051, Havlíèkùv Brod;15.5750953;49.6051833;Billa, s.r.o.;
Srbská 2653/51, Brno;16.5858367;49.229162;Billa, s.r.o.;
Havlíèkova 4821/13, Jihlava;15.5876542;49.4010066;Billa, s.r.o.;
Sofijská 2/3, Dìèín;14.1931848;50.7724184;Billa, s.r.o.;
Chrudimská 1671, Èáslav;15.3959549;49.9099251;Billa, s.r.o.;
Kleinerova 112, Kladno;14.0969065;50.1442521;Billa, s.r.o.;
Majerova 2525/7, Plzeò;13.3740478;49.7278229;Billa, s.r.o.;
Polièská 1561, Hlinsko;15.9185646;49.7680385;Billa, s.r.o.;
Šimùnkova 1625/1, Praha;14.47027;50.1330331;Billa, s.r.o.;
Freyova 945/33, Praha;14.5015537;50.1097281;Billa, s.r.o.;
námìstí Generála Píky 2703/27, Plzeò;13.4011848;49.7322596;Billa, s.r.o.;
Hornomìstská 370/51, Velké Meziøíèí;16.0054023;49.3560538;Billa, s.r.o.;
Jablonecká, Praha;14.4956607;50.1233031;Billa, s.r.o.;
Dukelská brána 25/7, Prostìjov;17.1128039;49.4722804;Billa, s.r.o.;
Svobody 2094/6, Cheb;12.3714563;50.077243;Billa, s.r.o.;
Letenské nám. 38/7, Praha;14.4237978;50.100249;Billa, s.r.o.;
V olšinách 3140/108, Praha;14.4970484;50.0724496;Billa, s.r.o.;
Èeskobrodská 920, Praha;14.5787298;50.0852502;Billa, s.r.o.;
Karlovo námìstí 1999, Náchod;16.1647465;50.4179191;Billa, s.r.o.;
Lorecká 655, Kutná Hora;15.2707938;49.954439;Billa, s.r.o.;
Prùmyslová 1128, Hoøice;15.626599;50.3658756;Billa, s.r.o.;
Piaristická 21/6, Èeské Budìjovice;14.4731665;48.97539399999999;Billa, s.r.o.;
Vysoèanská 382/20, Praha;14.4991532;50.1194637;Billa, s.r.o.;
Èsl. armády 906, Trutnov;15.9071199;50.5639733;Billa, s.r.o.;
Kratochvílova 1991, Roudnice nad Labem;14.2547264;50.4212999;Billa, s.r.o.;
Vodièkova 710/31, Praha;14.4242457;50.0813565;Billa, s.r.o.;
Tø. 1. máje 1280, Pøeštice;13.327978;49.5823358;Billa, s.r.o.;
Chaloupky 585, Veselí nad Moravou;17.3862941;48.9524397;Billa, s.r.o.;
Plaská 1265/7, Plzeò;13.3807894;49.7784585;Billa, s.r.o.;
Sedláèkova 2557/4, Brno;16.6678034;49.2019639;Billa, s.r.o.;
Papírnická 2570/3, Plzeò;13.3867275;49.73673729999999;Billa, s.r.o.;
Petra Hrubého 285, Slanı;14.0713909;50.2298333;Billa, s.r.o.;
Karlštejnská 1054, Èernošice;14.3217009;49.959159;Billa, s.r.o.;
Kpt. Nálepky 2397, Tábor;14.6505911;49.4202528;Billa, s.r.o.;
Pøíèná 1263/4, Litovel;17.0717369;49.6989743;Billa, s.r.o.;
Tyršovo nábøeí 596, Ledeè nad Sázavou;15.2741173;49.6943853;Billa, s.r.o.;
Evropská 695/73, Praha;14.3593965;50.0973796;Billa, s.r.o.;
Prùbìná 2271, Pelhøimov;15.2266745;49.4294888;Billa, s.r.o.;
Ruská 1919/7, Bruntál;17.4623345;49.9870738;Billa, s.r.o.;
Krèínova 809/11, Ústí nad Labem;14.0729442;50.668437;Billa, s.r.o.;
sídl. Vajgar 730, Jindøichùv Hradec;15.0160412;49.1376126;Billa, s.r.o.;
Budìjovická 356/1a, Praha;14.4437129;50.0503344;Billa, s.r.o.;
Dlouhá tøída 860/1a, Havíøov;18.4318103;49.7806975;Billa, s.r.o.;
Krokova 649/30, Karlovy Vary;12.8974144;50.2349074;Billa, s.r.o.;
Legionáøská 2989, Dvùr Králové nad Labem;15.8170618;50.4319465;Billa, s.r.o.;
Praská 459, Lety;14.2607181;49.9248915;Billa, s.r.o.;
Purkyòova 2136/59, Svitavy;16.4669957;49.75413349999999;Billa, s.r.o.;
Poøádí 2283, Uherskı Brod;17.6514777;49.0250449;Billa, s.r.o.;
Za Panskou zahradou 1018/1, Rudná;14.2096677;50.0222989;Billa, s.r.o.;
J. Opletala 926/20, Èeské Budìjovice;14.4464576;48.98201359999999;Billa, s.r.o.;
Jeronımova 1750/21, Èeské Budìjovice;14.4816718;48.9739192;Billa, s.r.o.;
Dobnerova 1195/27, Olomouc;17.2335486;49.5909075;Billa, s.r.o.;
Kubíèkova 1080/6, Brno;16.5185146;49.220804;Billa, s.r.o.;
Kratochvílova 2658, Roudnice nad Labem;14.2613563;50.4195933;Billa, s.r.o.;
U Vodárny 823, Novı Bor;14.5570474;50.7699229;Billa, s.r.o.;
Lodská 850/6, Praha;14.4175862;50.1276569;Billa, s.r.o.;
