X,Y,NAZEV,ULICE_x,OBEC_x,ICOFIR,FIRMA40A
13.305726002607127,49.395240158190155,,Suvorovova 617,Klatovy,14731827,Barbora Dušková
12.56114047056821,50.254372319948303,,153,Oloví,13851390,Bc. Monika Hurtová
17.744859596729157,49.555285264102125,,Zborovská 1245,Hranice,10636382,Bedřich Stříteský
14.924764892641798,50.543005547660371,,,Horní Bukovina,60733551,"Bells-Seven, s.r.o. v likvidaci"
14.42137477951545,49.224522328951949,,Zámecké nádvoří 782,Týn nad Vltavou,25155881,"Bemaja, s.r.o."
14.690260122443064,49.781331451175369,,Na Bezděkově 2056,Benešov,61672840,"Bemotrade, a.s."
14.419903305562038,49.223892367486002,,Horní Brašov 759,Týn nad Vltavou,61672840,"Bemotrade, a.s."
15.315562979288535,50.709080147575811,č. s. BENZINA,2,Plavy,27313174,"Bena, s.r.o."
18.344965644823443,49.701596508448468,,Petra Cingra 1704,Frýdek-Místek,25824139,"Benefit Group, s.r.o."
13.665934479047744,49.101813604252484,,231,Stachy,47238003,"Beneš obchodní společnost, s.r.o."
17.970617780152121,49.473486241598131,,Vodní 849,Valašské Meziříčí,25834681,"Benny Trading, s.r.o."
14.649556003355531,50.189770399415018,,Kostelecká 1529,Brandýs nad Labem-Stará Boleslav,25108166,"Bento, s.r.o."
14.447478976241502,49.000451791327869,,České Vrbné 1994,České Budějovice,28090039,"Bergamo České Budějovice, s.r.o."
14.083721782505622,49.960143876329511,,Na Podole 739,Beroun,46355154,"Beroz, v.o.s."
18.544288580413305,49.682404614814679,,390,Hnojník,25392565,"Beskyd Sped, s.r.o."
18.539279600622336,49.683582242380723,,88,Hnojník,25392565,"Beskyd Sped, s.r.o."
18.667644137587331,49.669251741669036,,Tyršova 214,Třinec,25392565,"Beskyd Sped, s.r.o."
14.680945148775075,49.790185247798689,,Erbenova 134,Benešov,48948667,"Beta - Derm, s.r.o."
16.651783253654205,49.30057905738829,,Nádražní 42,Adamov,60697962,"Beta, s.r.o."
14.317049282155425,48.814425376586037,,Latrán 86,Český Krumlov,49053353,Bich Vu Thi
13.785552324410878,50.55248165403561,,Sídliště Za Chlumem 896,Bílina,25408305,"Bílej, s.r.o."
14.438624128944776,48.984419777237314,Filiálka č. 309,,České Budějovice,685976,"Billa, s.r.o."
16.439676404551498,49.902843585081918,supermarket,Tkalcovská 350,Česká Třebová,685976,"Billa, s.r.o."
18.13059254526641,49.460141644348852,Supermarket Billa Rožnov pod Radhoštěm,Meziříčská 2306,Rožnov pod Radhoštěm,685976,"Billa, s.r.o."
15.034796186544151,50.76107276567835,Supermarket BILLA,Švermova 362,Liberec,685976,"Billa, s.r.o."
16.07791960508473,49.551584279184667,Brněnská ulice,241,Nové Město na Moravě,685976,"Billa, s.r.o."
15.575091740067911,49.605182196860049,,Masarykova 2051,Havlíčkův Brod,685976,"Billa, s.r.o."
15.395948545729725,49.909925221953692,,Chrudimská 1671,Čáslav,685976,"Billa, s.r.o."
14.096890658486261,50.144246372361181,,Kleinerova 112,Kladno,685976,"Billa, s.r.o."
15.918560954758403,49.768040100795012,,Poličská 1561,Hlinsko,685976,"Billa, s.r.o."
16.16473990397953,50.417925540681225,,Karlovo náměstí 1999,Náchod,685976,"Billa, s.r.o."
15.270786518578717,49.954438764127147,,Lorecká 655,Kutná Hora,685976,"Billa, s.r.o."
15.626590250689478,50.365879535443682,,Průmyslová 1128,Hořice,685976,"Billa, s.r.o."
14.254708700289951,50.421296406501028,,Kratochvílova 1991,Roudnice nad Labem,685976,"Billa, s.r.o."
13.327962824122844,49.582321811818602,,Tř. 1. máje 1280,Přeštice,685976,"Billa, s.r.o."
17.386295612783371,48.952441862340677,,Chaloupky 585,Veselí nad Moravou,685976,"Billa, s.r.o."
14.071373968327139,50.229827853525236,,Petra Hrubého 285,Slaný,685976,"Billa, s.r.o."
14.321688419180681,49.959153610664679,,Karlštejnská 1054,Černošice,685976,"Billa, s.r.o."
14.650585969540108,49.420246031302831,,Kpt. Nálepky 2397,Tábor,685976,"Billa, s.r.o."
