ADRESA,,x,y,FIRMA,NAZEV,SUMCID,COUNT
"Katovická 1306, Strakonice",Strakonice,13.891321100000001,49.263864699999999,"Kaufland Česká republika, v.o.s.",OD Kaufland Strakonice,129067715.0000000000000000,9675.0000000000000000
"Těšínská 1486/19, Plzeň",Plzeň,13.407979400000000,49.750579199999997,"Lidl Česká republika, v.o.s.",,68887248.0000000000000000,5712.0000000000000000
"Tyršovo nám. 2218, Roztoky",Roztoky,14.393063600000000,50.161842399999998,"AHOLD Czech Republic, a. s.",,108295581.0000000000000000,8443.0000000000000000
"Radniční 3400, Most",Most,13.639977800000000,50.501258399999998,"AHOLD Czech Republic, a. s.",,74693503.0000000000000000,7381.0000000000000000
"Západní 1807/43, Karlovy Vary",Karlovy Vary,12.854431200000001,50.228451999999997,"Penny Market, s.r.o.",Penny Market,32104990.0000000000000000,4984.0000000000000000
"Opatovská 960/20, Praha",Praha,14.532848200000000,50.030614100000001,"Lidl Česká republika, v.o.s.",,67831760.0000000000000000,3498.0000000000000000
"Záhlinická 1059, Hulín",Hulín,17.472952700000000,49.313202800000013,"AHOLD Czech Republic, a. s.",,174173963.0000000000000000,11794.0000000000000000
"Českobrodská 920, Praha",Praha,14.578729800000000,50.085250199999997,"Billa, s.r.o.",,13441557.0000000000000000,2727.0000000000000000
"Vítězná 118, Kladno",Kladno,14.080975300000000,50.140366399999998,"Penny Market, s.r.o.",Penny Market,147673212.0000000000000000,21258.0000000000000000
"Boženy Němcové 2057, Sokolov",Sokolov,12.652569800000000,50.173906600000002,"Penny Market, s.r.o.",Penny Market,114076621.0000000000000000,9537.0000000000000000
"Okružní 5290, Zlín",Zlín,17.667421300000001,49.235724900000001,"Billa, s.r.o.",,8954697.0000000000000000,2556.0000000000000000
"Jablonecká, Praha",Praha,14.495660700000000,50.123303100000001,"Billa, s.r.o.",,68774298.0000000000000000,5244.0000000000000000
"Makovského 1349/2a, Praha 6",Praha,14.308579699999999,50.064855399999999,"AHOLD Czech Republic, a. s.",,94429799.0000000000000000,5200.0000000000000000
"Hornoměcholupská 492, Praha",Praha,14.566962600000000,50.041382800000001,"Billa, s.r.o.",,120376532.0000000000000000,9036.0000000000000000
"Dukelská 2974/2, Opava",Opava,17.888520000000000,49.937862899999999,"Lidl Česká republika, v.o.s.",,50946667.0000000000000000,4397.0000000000000000
"Sokolská 5300, Zlín",Zlín,17.686294799999999,49.237348300000001,"Kaufland Česká republika, v.o.s.",OD Kaufland Zlín,73581791.0000000000000000,12493.0000000000000000
"Polní 604/29, Liberec",Liberec,15.038146100000001,50.782993800000000,"Kaufland Česká republika, v.o.s.",OD Kaufland Liberec,51375799.0000000000000000,4702.0000000000000000
"Cihelní 1345/2, Bruntál",Bruntál,17.457192200000001,49.985562500000000,"Tesco Stores ČR, a.s.",Supermarket Bruntál,10120632.0000000000000000,5722.0000000000000000
"Pivovarská 700, Domažlice",Domažlice,12.926806900000001,49.442768999999998,"Kaufland Česká republika, v.o.s.",OD Kaufland Domažlice,72126778.0000000000000000,7969.0000000000000000
"Přímětická 2625/76, Znojmo",Znojmo,16.039213100000001,48.871172500000000,"Penny Market, s.r.o.",,190278963.0000000000000000,16061.0000000000000000
"Bedřicha Nikodema 360/1, Ostrava",Ostrava,18.170202000000000,49.842670599999998,"Penny Market, s.r.o.",,62419170.0000000000000000,5505.0000000000000000
"Kolaříkova 1497/1, Brno",Brno,16.581457900000000,49.247300199999998,"Billa, s.r.o.",,27834304.0000000000000000,14515.0000000000000000
"Kounicova 966/67a, Brno",Brno,16.593356799999999,49.209908100000000,"Billa, s.r.o.",,11903514.0000000000000000,11169.0000000000000000
"Hrdinů 1848, Jirkov",Jirkov,13.441211900000001,50.490875699999997,"Penny Market, s.r.o.",Penny Market,38000118.0000000000000000,3884.0000000000000000
"Spálená 2121/22, Praha",Praha,14.419799700000000,50.080106999999998,"Billa, s.r.o.",,21763998.0000000000000000,1742.0000000000000000
"Foerstrova 716/19, Olomouc",Olomouc,17.234939600000001,49.591121500000000,"AHOLD Czech Republic, a. s.",,60347601.0000000000000000,5545.0000000000000000
"Masarykovo náměstí 3090/15, Ostrava",Ostrava,18.292938800000002,49.836575000000003,"Billa, s.r.o.",,45367121.0000000000000000,4054.0000000000000000
"Jugoslávských partyzánů 1580/3, Praha",Praha,14.394595199999999,50.104199100000002,"Billa, s.r.o.",,216441145.0000000000000000,16985.0000000000000000
"Podbabská, Praha",Praha,14.392823399999999,50.115890500000013,"Kaufland Česká republika, v.o.s.",Kaufland Praha Podbabská,39982338.0000000000000000,3020.0000000000000000
"Brněnská 471/11, Vyškov",Vyškov,16.992196900000000,49.273807099999999,"Lidl Česká republika, v.o.s.",,1066273.0000000000000000,56.0000000000000000
"Ečerova 1148/2a, Brno",Brno,16.526415600000000,49.216176999999988,"AHOLD Czech Republic, a. s.",,5279621.0000000000000000,2874.0000000000000000
"Na Petřinách 1945/55, Praha",Praha,14.344988700000000,50.087950300000003,"Billa, s.r.o.",,181476116.0000000000000000,14257.0000000000000000
"Závodní 1843, Petřvald",Petřvald,18.389297599999999,49.829237199999987,"Penny Market, s.r.o.",,112967314.0000000000000000,9029.0000000000000000
"Švermova 1547, Beroun",Beroun,14.050132400000001,49.956957899999999,"Penny Market, s.r.o.",Penny Market,39945229.0000000000000000,5682.0000000000000000
"Dukel. hrdinů 2546, Rakovník",Rakovník,13.710990700000000,50.108589100000003,"Penny Market, s.r.o.",,108317386.0000000000000000,9982.0000000000000000
"Českomoravská 2420/15a, Praha 9",Praha,14.490698699999999,50.104234099999999,"AHOLD Czech Republic, a. s.",,34736057.0000000000000000,2690.0000000000000000
"V olšinách 3140/108, Praha",Praha,14.497048400000001,50.072449599999999,"Billa, s.r.o.",,120873263.0000000000000000,9320.0000000000000000
"Dobiášova 1008, Liberec",Liberec,15.070792500000000,50.752448399999999,"AHOLD Czech Republic, a. s.",,127465279.0000000000000000,7201.0000000000000000
"Poděbradská 297, Pardubice",Pardubice,15.763069300000000,50.056359000000000,"Spar Česká obchodní společnost, s.r.o.",,127629769.0000000000000000,11205.0000000000000000
"Milady Horákové 327/51, Hradec Králové",Hradec Králové,15.846873300000000,50.185419899999999,"AHOLD Czech Republic, a. s.",,194457552.0000000000000000,12466.0000000000000000
"třída 3. května 1170, Zlín",Zlín,17.572471900000000,49.203724600000001,"Tesco Stores ČR, a.s.",Hypermarket Tesco Centro Zlín,63285402.0000000000000000,12480.0000000000000000
"K Ládví 344/4, Praha 8",Praha,14.431554300000000,50.135861800000001,"AHOLD Czech Republic, a. s.",,120744792.0000000000000000,9220.0000000000000000
"Brodská 495, Příbram",Příbram,13.992690400000001,49.669052800000003,"Penny Market, s.r.o.",Penny Market,30135415.0000000000000000,1602.0000000000000000
"Chomutovská 1316, Most",Most,13.632912200000000,50.501554900000002,"Billa, s.r.o.",,90156349.0000000000000000,9736.0000000000000000
"Dobnerova 1195/27, Olomouc",Olomouc,17.233548599999999,49.590907500000000,"Billa, s.r.o.",,257923224.0000000000000000,17779.0000000000000000
"Revoluční 2732/9, Ústí nad Labem",Ústí nad Labem,14.038010999999999,50.659376500000000,"Penny Market, s.r.o.",Penny Market,60407786.0000000000000000,3547.0000000000000000
"Rilská 3174/6, Praha 12",Praha,14.428096399999999,50.008616699999997,"AHOLD Czech Republic, a. s.",,179436093.0000000000000000,11104.0000000000000000
"tř. 17. listopadu 23/2, Karviná",Karviná,18.541280300000000,49.856249899999987,"Billa, s.r.o.",,87139071.0000000000000000,12123.0000000000000000
"Dr.Milady Horákové 10, Chrudim",Chrudim,15.802260900000000,49.936911100000003,"Tesco Stores ČR, a.s.",Hypermarket Tesco Chrudim,100031541.0000000000000000,8724.0000000000000000
"Vinohradská 89/90, Praha 3",Praha,14.453926800000000,50.077300999999999,"AHOLD Czech Republic, a. s.",,138829151.0000000000000000,11035.0000000000000000
"Rudná 114/3114, Ostrava",Ostrava,18.227972800000000,49.802018199999999,"AHOLD Czech Republic, a. s.",,51647893.0000000000000000,4597.0000000000000000
"Radčická 2861/2, Plzeň",Plzeň,13.369561200000000,49.749638099999999,"AHOLD Czech Republic, a. s.",,94846360.0000000000000000,7598.0000000000000000
"Pražská 373, Náchod",Náchod,16.157760700000001,50.408721900000003,"Penny Market, s.r.o.",,98894151.0000000000000000,6655.0000000000000000
"U Stadiónu 3255/1, Ostrava",Ostrava,18.316411700000000,49.769656699999999,"Lidl Česká republika, v.o.s.",,122459153.0000000000000000,8115.0000000000000000
"Křídlovická 911/34, Brno",Brno,16.602053000000002,49.185448899999997,"Billa, s.r.o.",,5507347.0000000000000000,5515.0000000000000000
"8. května 465/24, Olomouc",Olomouc,17.250150699999999,49.595285999999987,"Billa, s.r.o.",,24826951.0000000000000000,2286.0000000000000000
"Karlovo náměstí 2097/10, Praha",Praha,14.418785800000000,50.075407200000001,"Billa, s.r.o.",,67193813.0000000000000000,5369.0000000000000000
"Obce Ležáků 69, Chrudim",Chrudim,15.795933099999999,49.943951499999997,"Penny Market, s.r.o.",,48122574.0000000000000000,4796.0000000000000000
"Vysočanská 382/20, Praha",Praha,14.499153200000000,50.119463699999997,"Billa, s.r.o.",,65699862.0000000000000000,5098.0000000000000000
"Edvarda Beneše 581/21a, Plzeň",Plzeň,13.378485299999999,49.726262699999999,"Penny Market, s.r.o.",Penny Market,23485157.0000000000000000,1985.0000000000000000
"Milady Horákové 2751, Kladno",Kladno,14.111523099999999,50.133197000000003,"Penny Market, s.r.o.",Penny Market,43238779.0000000000000000,5127.0000000000000000
"Bezručova 651/6a, Jeseník",Jeseník,17.206161099999999,50.237167399999997,"Billa, s.r.o.",,191649491.0000000000000000,20138.0000000000000000
"Moravská 2114, Tachov",Tachov,12.635754700000000,49.802460099999998,"Lidl Česká republika, v.o.s.",,15808259.0000000000000000,1314.0000000000000000
"Průběžná 2271, Pelhřimov",Pelhřimov,15.226674500000000,49.429488800000001,"Billa, s.r.o.",,71571975.0000000000000000,6281.0000000000000000
"Letná 605/44, Liberec",Liberec,15.039123999999999,50.782279000000003,"Penny Market, s.r.o.",,5104005.0000000000000000,625.0000000000000000
"U Červeného kostela 1863, Teplice",Teplice,13.839080299999999,50.653110200000000,"Penny Market, s.r.o.",Penny Market,148941171.0000000000000000,8201.0000000000000000
"Krkonošská, Trutnov",Trutnov,15.883503200000000,50.582220300000003,"Tesco Stores ČR, a.s.",Hypermarket Tesco 5K Extra Trutnov,173840427.0000000000000000,11903.0000000000000000
"V celnici 1031/4, Praha",Praha,14.430073600000000,50.087885600000000,"Billa, s.r.o.",,14001268.0000000000000000,1121.0000000000000000
"Koněvova 188/30, Praha",Praha,14.456982099999999,50.087777500000001,"Billa, s.r.o.",,73948570.0000000000000000,5897.0000000000000000
"Jiráskova 67, Rokycany",Rokycany,13.595078100000000,49.740608500000000,"Billa, s.r.o.",,86817062.0000000000000000,8872.0000000000000000
"Plzeňská 916, Planá",Planá,12.735811300000000,49.863317100000003,"Tesco Stores ČR, a.s.",Supermarket Tesco Planá u Mariánských Lá,21667259.0000000000000000,4087.0000000000000000
"Letohradská 1485, Ústí nad Orlicí",Ústí nad Orlicí,16.405058100000002,49.978988600000001,"Penny Market, s.r.o.",,24663141.0000000000000000,3305.0000000000000000
"Skupova 490/24, Plzeň",Plzeň,13.373002100000001,49.723211300000003,"Billa, s.r.o.",,60636652.0000000000000000,4974.0000000000000000
"náměstí Generála Píky 2703/27, Plzeň",Plzeň,13.401184799999999,49.732259599999999,"Billa, s.r.o.",,180853109.0000000000000000,13606.0000000000000000
"Všebořická 359/51, Ústí nad Labem",Ústí nad Labem,13.996007600000000,50.683451699999999,"Lidl Česká republika, v.o.s.",,145370965.0000000000000000,7211.0000000000000000
"U Prazdroje 2746/20, Plzeň",Plzeň,13.394089400000000,49.747670100000001,"Penny Market, s.r.o.",Penny Market,8489242.0000000000000000,707.0000000000000000
"Želetická 2210/19, Litoměřice",Litoměřice,14.139058800000001,50.526497399999997,"AHOLD Czech Republic, a. s.",,40454357.0000000000000000,3916.0000000000000000
