ADRESA,,x,y,FIRMA,NAZEV,SUMCID,COUNT
"1. máje 155, Frýdek-Místek",Frýdek-Místek,18.351449599999999,49.669248699999997,"AHOLD Czech Republic, a. s.",,15732992.0000000000000000,4172.0000000000000000
"Olbrachtova 808/2, Liberec",Liberec,15.090521799999999,50.760925200000003,"Tesco Stores ČR, a.s.",Supermarket Tesco Liberec,191362333.0000000000000000,14456.0000000000000000
"Teplická, Děčín",Děčín,14.170882900000001,50.781767199999997,"Penny Market, s.r.o.",Penny Market,19012087.0000000000000000,5030.0000000000000000
"Výškovická 3086/44, Ostrava",Ostrava,18.230623399999999,49.800272199999988,"Kaufland Česká republika, v.o.s.",OD Kaufland Ostrava-Zábřeh,56576306.0000000000000000,5034.0000000000000000
"Mimoňská 3090, Česká Lípa",Česká Lípa,14.540966500000000,50.680745999999999,"Kaufland Česká republika, v.o.s.",OD Kaufland Česká Lípa,39626192.0000000000000000,8649.0000000000000000
"nám. 1. května, Kuřim",Kuřim,16.530966700000000,49.298720799999998,"AHOLD Czech Republic, a. s.",,141971772.0000000000000000,10713.0000000000000000
"Švabinského 618, Domažlice",Domažlice,12.930413900000000,49.446870799999999,"Penny Market, s.r.o.",,15964751.0000000000000000,3636.0000000000000000
"Žarošická 4292/30, Brno",Brno,16.664391800000001,49.206083799999988,"Billa, s.r.o.",,2492853.0000000000000000,2256.0000000000000000
"Olomoucká 90, Olomouc - Velký Týnec",Olomouc,17.306861200000000,49.559281200000008,"AHOLD Czech Republic, a. s.",,81753577.0000000000000000,11683.0000000000000000
"Jáchymova 838, Jindřichův Hradec",Jindřichův Hradec,15.015570000000000,49.140730800000000,"AHOLD Czech Republic, a. s.",,9806066.0000000000000000,1592.0000000000000000
"Žežická 598, Příbram",Příbram,13.988364700000000,49.670921600000000,"Tesco Stores ČR, a.s.",Hypermarket Tesco Příbram,139173591.0000000000000000,11167.0000000000000000
"Předškolní 680/4, Ostrava",Ostrava,18.222086500000000,49.781445800000000,"AHOLD Czech Republic, a. s.",,256318355.0000000000000000,21581.0000000000000000
"Budějovická 1125/11, Praha 4",Praha,14.446993600000001,50.046635700000003,"AHOLD Czech Republic, a. s.",,46929695.0000000000000000,3740.0000000000000000
"Buničitá 1239, Vratimov",Vratimov,18.303033100000000,49.771918399999997,"Penny Market, s.r.o.",Penny Market,55658594.0000000000000000,4086.0000000000000000
"Hlavní třída 3274, Frýdek-Místek",Frýdek-Místek,18.369396500000001,49.677541800000000,"Spar Česká obchodní společnost, s.r.o.",,86699467.0000000000000000,12507.0000000000000000
"Oskol 3711/26, Kroměříž",Kroměříž,17.402887100000001,49.297188499999997,"AHOLD Czech Republic, a. s.",,26450247.0000000000000000,3564.0000000000000000
"Husova 1112, Jičín",Jičín,15.364681200000000,50.433327400000003,"Penny Market, s.r.o.",Penny Market,21409529.0000000000000000,1281.0000000000000000
"Hynaisova 554/11, Olomouc",Olomouc,17.245670199999999,49.597324999999998,"Billa, s.r.o.",,20401873.0000000000000000,1876.0000000000000000
"U Libeňského pivovaru 63/2, Praha 8",Praha,14.475369799999999,50.107073100000001,"AHOLD Czech Republic, a. s.",,104955429.0000000000000000,8162.0000000000000000
"Suchovrbenské nám. 708/2, České Budějovice",České Budějovice,14.504148199999999,48.970954300000002,"AHOLD Czech Republic, a. s.",,107978318.0000000000000000,17987.0000000000000000
"Cihlářská 1516, Ústí nad Orlicí",Ústí nad Orlicí,16.400433199999998,49.978605199999997,"Tesco Stores ČR, a.s.",Hypermarket Tesco Ústí nad Orlicí,13784383.0000000000000000,1325.0000000000000000
"náměstí Svobody 702/9, Brno",Brno,16.609216100000001,49.194836299999999,"Billa, s.r.o.",,7744906.0000000000000000,7429.0000000000000000
"17. listopadu 1431, Orlová",Orlová,18.444300100000000,49.863123199999997,"Lidl Česká republika, v.o.s.",,31505498.0000000000000000,4866.0000000000000000
"Pražská 2276, Pelhřimov",Pelhřimov,15.211483100000001,49.439291099999998,"Kaufland Česká republika, v.o.s.",OD Kaufland Pelhřimov,59471426.0000000000000000,5772.0000000000000000
"U Slavie 1527/3, Praha",Praha,14.469399400000000,50.068164099999997,"Tesco Stores ČR, a.s.",Hypermarket Tesco Praha Eden,167355081.0000000000000000,11625.0000000000000000
"Brněnská 1870/33a, Hradec Králové",Hradec Králové,15.850902800000000,50.189825199999987,"Lidl Česká republika, v.o.s.",,28793063.0000000000000000,2629.0000000000000000
"Velehradská třída, Uherské Hradiště",Uherské Hradiště,17.462897999999999,49.070541700000000,"Billa, s.r.o.",,17547707.0000000000000000,994.0000000000000000
"Wilsonova 300/8, Praha",Praha,14.435021400000000,50.083238700000003,"Billa, s.r.o.",,24980969.0000000000000000,1998.0000000000000000
"Kamenická 232, Děčín",Děčín,14.240208900000001,50.784711899999998,"AHOLD Czech Republic, a. s.",,43293501.0000000000000000,10527.0000000000000000
"Křenová 273/73, Brno",Brno,16.625622400000001,49.191360099999997,"Billa, s.r.o.",,4431086.0000000000000000,4033.0000000000000000
"Tilleho nám. 793/1, Praha",Praha,14.377723100000001,50.034504499999997,"Billa, s.r.o.",Barrandov,113983700.0000000000000000,5490.0000000000000000
"ul. U Divadla, Teplice",Teplice,13.826006500000000,50.640136800000008,"AHOLD Czech Republic, a. s.",,32333711.0000000000000000,1981.0000000000000000
"J. Opletala 926/20, České Budějovice",České Budějovice,14.446457600000000,48.982013599999988,"Billa, s.r.o.",,15635952.0000000000000000,7048.0000000000000000
"Bělohorská 2428/203, Praha",Praha,14.341148900000000,50.077839800000000,"Kaufland Česká republika, v.o.s.",OD Kaufland Praha-Vypich,90584578.0000000000000000,7128.0000000000000000
"Na Pankráci 86, Praha",Praha,14.439103100000001,50.051158600000001,"Spar Česká obchodní společnost, s.r.o.",,169222408.0000000000000000,13470.0000000000000000
"Na Příkopě 3162, Frýdek-Místek",Frýdek-Místek,18.349677799999998,49.681516999999999,"Billa, s.r.o.",,5798096.0000000000000000,1687.0000000000000000
"9. května 2886, Tábor",Tábor,14.671693599999999,49.412921699999998,"AHOLD Czech Republic, a. s.",,43414801.0000000000000000,3108.0000000000000000
"Jankovcova 1603/47a, Praha",Praha,14.455057000000000,50.106697300000000,"Billa, s.r.o.",,23512991.0000000000000000,1836.0000000000000000
"Opavská 774/91, Ostrava",Ostrava,18.168489500000000,49.834151200000001,"Tesco Stores ČR, a.s.",Supermarket Tesco Expres Ostrava,180835120.0000000000000000,15552.0000000000000000
"Přemyslovců 2252/1, Nový Jičín",Nový Jičín,18.010540400000000,49.598797900000001,"Spar Česká obchodní společnost, s.r.o.",INTERSPAR Nový Jičín,34629800.0000000000000000,2625.0000000000000000
"Částkova 1185/80, Plzeň",Plzeň,13.405360399999999,49.734694200000000,"Penny Market, s.r.o.",,111418462.0000000000000000,6630.0000000000000000
"Šumavská 782, Klatovy",Klatovy,13.294759300000001,49.388081999999997,"Kaufland Česká republika, v.o.s.",OD Kaufland Klatovy,53426510.0000000000000000,7750.0000000000000000
"Novosibřinská 2227, Praha",Praha,14.671298000000000,50.074206399999987,"Lidl Česká republika, v.o.s.",,55654729.0000000000000000,4368.0000000000000000
"Karlovo nám. 15, Praha 2",Praha,14.419122900000000,50.076804400000000,"AHOLD Czech Republic, a. s.",,35488068.0000000000000000,2838.0000000000000000
"Kutnohorská 226, Hradec Králové",Hradec Králové,15.780660599999999,50.199056800000001,"AHOLD Czech Republic, a. s.",,156492275.0000000000000000,14048.0000000000000000
"Jana Zajíce 717, Pardubice",Pardubice,15.805086899999999,50.043918400000003,"AHOLD Czech Republic, a. s.",,196336248.0000000000000000,13995.0000000000000000
"Vodní 2453/1, Cheb",Cheb,12.369700200000000,50.083841999999997,"Lidl Česká republika, v.o.s.",,12001915.0000000000000000,2397.0000000000000000
"Tyršova 884, Trmice",Trmice,14.005493899999999,50.650425700000007,"Penny Market, s.r.o.",Penny Market,89265804.0000000000000000,6296.0000000000000000
"Hostovského 967, Hronov",Hronov,16.181302599999999,50.471839400000000,"Penny Market, s.r.o.",Penny Market,91117299.0000000000000000,10480.0000000000000000
"Bayerova 646/3, Přerov",Přerov,17.455372700000002,49.453818099999999,"AHOLD Czech Republic, a. s.",,37610170.0000000000000000,2843.0000000000000000
"V předpolí 21, Praha",Praha,14.482263800000000,50.071636499999997,"AHOLD Czech Republic, a. s.",,153558504.0000000000000000,11852.0000000000000000
"ul.Čsl. Armády 826, Praha 6",Praha,14.403754299999999,50.100343799999997,"AHOLD Czech Republic, a. s.",,205672967.0000000000000000,15571.0000000000000000
"Breitcetlova 771/6, Praha 9",Praha,14.574513800000000,50.105556300000003,"AHOLD Czech Republic, a. s.",,262591753.0000000000000000,13458.0000000000000000
"Libušina třída 5, Brno",Brno,16.533985200000000,49.187860899999997,"AHOLD Czech Republic, a. s.",,133161299.0000000000000000,10192.0000000000000000
"Masarykova 187, Kutná Hora",Kutná Hora,15.283876599999999,49.960077699999999,"AHOLD Czech Republic, a. s.",,24058717.0000000000000000,3000.0000000000000000
"tř. Svobody 956/31, Olomouc",Olomouc,17.249212700000001,49.593148799999987,"AHOLD Czech Republic, a. s.",,29220680.0000000000000000,2689.0000000000000000
"třída Edvarda Beneše 1797/1d, Hradec Králové",Hradec Králové,15.839728800000000,50.196398700000003,"AHOLD Czech Republic, a. s.",,201577877.0000000000000000,13120.0000000000000000
"Evropská 695/73, Praha",Praha,14.359396500000001,50.097379599999996,"Billa, s.r.o.",,155875015.0000000000000000,12046.0000000000000000
"Tovární 1395, Chrudim",Chrudim,15.796902700000000,49.955104300000002,"Lidl Česká republika, v.o.s.",,25639378.0000000000000000,3099.0000000000000000
"Rooseveltova 46, Chrudim",Chrudim,15.789769900000000,49.948847899999997,"Billa, s.r.o.",,80740758.0000000000000000,11826.0000000000000000
"Na Pastvisku 1571/5, Opava",Opava,17.908026499999998,49.948284600000001,"Billa, s.r.o.",,64598849.0000000000000000,5382.0000000000000000
"Karla Havlíčka Borovského 2145, Sokolov",Sokolov,12.675369600000000,50.175150400000000,"Lidl Česká republika, v.o.s.",,80079609.0000000000000000,4213.0000000000000000
"Na Radouči 1236, Mladá Boleslav",Mladá Boleslav,14.909793700000000,50.436184599999997,"AHOLD Czech Republic, a. s.",,48086075.0000000000000000,4418.0000000000000000
"Čechova 2126, Benešov",Benešov,14.695186700000001,49.786918800000002,"Penny Market, s.r.o.",,71918157.0000000000000000,9206.0000000000000000
"Jabloňová 3000/15, Praha",Praha,14.497614499999999,50.056862099999996,"Tesco Stores ČR, a.s.",Supermarket Tesco Jabloňová,77304890.0000000000000000,5966.0000000000000000
"Na Baních 1475, Praha",Praha,14.381000300000000,49.963412099999999,"Lidl Česká republika, v.o.s.",,133449872.0000000000000000,10728.0000000000000000
"Červeňanského 2723/29, Praha",Praha,14.333980800000001,50.040419100000008,"Lidl Česká republika, v.o.s.",,64404048.0000000000000000,3768.0000000000000000
"Sjízdná 1157/1, Ostrava",Ostrava,18.198688099999998,49.825944000000007,"Lidl Česká republika, v.o.s.",,38713546.0000000000000000,3413.0000000000000000
"nám. Soukenné 669/2a, Liberec",Liberec,15.056273700000000,50.765611999999997,"Tesco Stores ČR, a.s.",obchodní dům MY Liberec,12174196.0000000000000000,1507.0000000000000000
"Freyova 945/33, Praha",Praha,14.501553700000001,50.109728099999998,"Billa, s.r.o.",,54605896.0000000000000000,4233.0000000000000000
"V korytech 1535/65, Praha",Praha,14.493269099999999,50.063977299999998,"Lidl Česká republika, v.o.s.",,45097494.0000000000000000,3480.0000000000000000
"Přemyslovců 2654, Louny",Louny,13.782843300000000,50.356416799999998,"Penny Market, s.r.o.",,90870122.0000000000000000,6369.0000000000000000
"Chýnovská 3049, Tábor",Tábor,14.686798000000000,49.408446800000000,"Spar Česká obchodní společnost, s.r.o.",,89615112.0000000000000000,7845.0000000000000000
"Nádražní 2376, Žďár nad Sázavou",Žďár nad Sázavou,15.938887400000000,49.558485900000001,"Kaufland Česká republika, v.o.s.",OD Kaufland Žďár nad Sázavou,56050713.0000000000000000,2918.0000000000000000
"Svobody 2094/6, Cheb",Cheb,12.371456300000000,50.077243000000003,"Billa, s.r.o.",,14759182.0000000000000000,2950.0000000000000000
"Nábřeží 5428, Zlín",Zlín,17.654324100000000,49.227906999999988,"Lidl Česká republika, v.o.s.",,16237021.0000000000000000,4627.0000000000000000
"Trnkova 2772/121, Brno",Brno,16.667955500000001,49.200483299999988,"Lidl Česká republika, v.o.s.",,1452718.0000000000000000,1272.0000000000000000
"Řevnická 121/1, Praha",Praha,14.287548100000000,50.053294999999999,"Spar Česká obchodní společnost, s.r.o.",,48797732.0000000000000000,3011.0000000000000000
"Lhotecká 444/3a, Praha",Praha,14.424623700000000,50.015387799999999,"Lidl Česká republika, v.o.s.",,16836388.0000000000000000,899.0000000000000000
"Josefa Růžičky 1226, Rokycany",Rokycany,13.600263900000000,49.738947099999997,"Kaufland Česká republika, v.o.s.",OD Kaufland Rokycany,216346052.0000000000000000,20762.0000000000000000
"Brněnská 4971/74, Jihlava",Jihlava,15.609606500000000,49.396315199999997,"Tesco Stores ČR, a.s.",Hypermarket Jihlava,109658064.0000000000000000,11315.0000000000000000
"Přístavní 1321/55a, Brno",Brno,16.523653100000001,49.227545799999987,"Penny Market, s.r.o.",Penny Market,10750071.0000000000000000,2658.0000000000000000
"17. listopadu 2262, Frýdek-Místek",Frýdek-Místek,18.324557700000000,49.674167799999999,"AHOLD Czech Republic, a. s.",,74772955.0000000000000000,6967.0000000000000000
"Cihelní 1872, Hlučín",Hlučín,18.195434100000000,49.895673199999997,"Penny Market, s.r.o.",,108469550.0000000000000000,18556.0000000000000000
"Marie Majerové 2162/20, Litoměřice",Litoměřice,14.129181400000000,50.545107799999997,"AHOLD Czech Republic, a. s.",,179968544.0000000000000000,13277.0000000000000000
"Hasova 1999/5, Praha",Praha,14.425965900000000,50.014131399999997,"Penny Market, s.r.o.",,38557967.0000000000000000,2091.0000000000000000
"Fučíkova 1342/3, Jeseník",Jeseník,17.198350600000001,50.225488700000000,"Kaufland Česká republika, v.o.s.",OD Kaufland Jeseník,98138618.0000000000000000,12219.0000000000000000
"Brněnská 514/13c, Vyškov",Vyškov,16.990585599999999,49.272654000000003,"Tesco Stores ČR, a.s.",Hypermarket Vyškov,17938569.0000000000000000,1764.0000000000000000
"Milínská 134, Příbram",Příbram,14.008646400000000,49.686311900000000,"Billa, s.r.o.",,123648769.0000000000000000,8782.0000000000000000
"Brandlova 1640/2, Praha",Praha,14.514481699999999,50.032303400000004,"Tesco Stores ČR, a.s.",Supermarket Tesco Brandlova,84528919.0000000000000000,4314.0000000000000000
"tř. 17. listopadu 3170/41, Přerov",Přerov,17.457060299999998,49.453282899999998,"Tesco Stores ČR, a.s.",Supermarket Tesco Přerov,63437148.0000000000000000,4796.0000000000000000
"Krčínova 809/11, Ústí nad Labem",Ústí nad Labem,14.072944200000000,50.668436999999997,"Billa, s.r.o.",,203280030.0000000000000000,11630.0000000000000000
"Českobrodská 200/23, Praha",Praha,14.513786700000001,50.093081099999999,"Lidl Česká republika, v.o.s.",,10176539.0000000000000000,758.0000000000000000
"Bezručova 5429, Chomutov",Chomutov,13.402525300000001,50.465024100000001,"Penny Market, s.r.o.",Penny Market,73815310.0000000000000000,13483.0000000000000000
"Jana Palacha 1229, Mladá Boleslav",Mladá Boleslav,14.911733699999999,50.430199799999997,"AHOLD Czech Republic, a. s.",,70928211.0000000000000000,3895.0000000000000000
"Bohúňova 1550/19, Praha",Praha,14.522366000000000,50.025906799999987,"Penny Market, s.r.o.",,213330440.0000000000000000,10822.0000000000000000
"Okružní 881/7, Brno",Brno,16.624545200000000,49.221720599999998,"Lidl Česká republika, v.o.s.",,4762541.0000000000000000,4432.0000000000000000
